,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Boston Celtics,67,15,.817,—,114.1,104.7,9.06,3.0,82,242.1,42.0,91.2,0.461,1.0,3.7,0.27,41.0,87.5,0.469,19.7,26.4,0.748,13.3,28.3,41.5,23.5,8.8,4.2,15.3,24.0,104.7,Boston Celtics_1986,1986
1,Philadelphia 76ers,54,28,.659,13.0,110.4,108.0,2.46,8.0,82,242.7,44.1,89.4,0.493,1.0,3.4,0.291,43.1,85.9,0.501,18.9,24.9,0.757,14.5,27.2,41.7,27.5,9.8,5.7,18.5,26.7,108.0,Philadelphia 76ers_1986,1986
2,Washington Bullets,39,43,.476,28.0,103.0,104.8,-1.28,4.0,82,242.1,41.9,89.8,0.467,0.9,3.2,0.274,41.0,86.6,0.474,20.1,26.6,0.756,15.2,31.6,46.8,24.6,8.7,5.5,16.7,23.3,104.8,Washington Bullets_1986,1986
3,New Jersey Nets,39,43,.476,28.0,109.1,111.1,-1.39,12.0,82,241.5,42.7,86.9,0.492,1.2,3.9,0.304,41.6,83.0,0.501,24.5,32.0,0.766,12.6,28.9,41.5,24.6,9.5,4.8,18.6,24.4,111.1,New Jersey Nets_1986,1986
4,New York Knicks,23,59,.280,44.0,98.7,104.3,-4.82,1.0,82,241.5,38.9,81.4,0.478,0.8,3.3,0.248,38.1,78.0,0.488,25.6,33.5,0.766,14.2,31.5,45.8,24.5,8.5,5.4,19.9,24.6,104.3,New York Knicks_1986,1986
5,Milwaukee Bucks,57,25,.695,—,114.5,105.5,8.69,5.0,82,241.5,40.1,85.9,0.467,1.2,4.0,0.295,38.9,81.9,0.475,24.1,32.6,0.74,14.3,28.4,42.6,23.8,7.7,4.8,19.9,26.1,105.5,Milwaukee Bucks_1986,1986
6,Atlanta Hawks,50,32,.610,7.0,108.6,106.2,2.59,6.0,82,241.5,41.0,86.3,0.475,1.1,3.5,0.307,39.9,82.8,0.482,23.2,30.6,0.76,14.7,28.4,43.1,23.7,8.5,4.5,18.2,26.0,106.2,Atlanta Hawks_1986,1986
7,Detroit Pistons,46,36,.561,11.0,114.2,113.0,1.44,16.0,82,241.2,44.1,89.8,0.492,0.9,3.1,0.275,43.3,86.7,0.499,23.9,31.6,0.756,14.4,31.0,45.3,25.4,8.1,6.1,18.2,24.1,113.0,Detroit Pistons_1986,1986
8,Chicago Bulls,30,52,.366,27.0,109.3,113.1,-3.12,18.0,82,242.1,43.9,87.0,0.504,0.9,2.8,0.3,43.1,84.2,0.511,24.4,32.0,0.762,13.5,28.8,42.3,26.5,8.1,6.0,15.8,24.4,113.1,Chicago Bulls_1986,1986
9,Cleveland Cavaliers,29,53,.354,28.0,107.8,110.6,-2.19,11.0,82,241.2,41.9,88.3,0.475,1.0,3.6,0.29,40.8,84.7,0.482,25.8,33.6,0.767,13.8,30.4,44.2,25.9,8.7,4.4,16.2,23.7,110.6,Cleveland Cavaliers_1986,1986
10,Indiana Pacers,26,56,.317,31.0,103.9,107.2,-2.66,7.0,82,240.9,41.1,86.9,0.473,0.9,3.4,0.265,40.2,83.5,0.482,24.1,31.4,0.768,12.8,30.2,43.0,25.1,9.1,5.4,16.0,23.3,107.2,Indiana Pacers_1986,1986
11,Houston Rockets,51,31,.622,—,114.4,111.8,2.10,13.0,82,240.9,44.4,90.3,0.491,1.1,3.3,0.325,43.3,87.0,0.498,22.0,29.3,0.749,14.5,29.1,43.6,26.8,8.3,4.7,17.9,24.1,111.8,Houston Rockets_1986,1986
12,Denver Nuggets,47,35,.573,4.0,114.8,113.5,0.89,19.0,82,240.9,44.4,90.3,0.491,0.7,3.2,0.229,43.6,87.1,0.501,24.0,32.8,0.73,15.8,33.3,49.1,25.7,7.8,5.9,21.2,25.8,113.5,Denver Nuggets_1986,1986
13,Dallas Mavericks,44,38,.537,7.0,115.3,114.2,0.70,21.0,82,241.5,47.1,93.8,0.503,1.1,3.8,0.289,46.0,90.0,0.512,18.8,25.0,0.754,14.9,30.1,45.0,29.0,7.5,5.2,15.6,26.8,114.2,Dallas Mavericks_1986,1986
14,Utah Jazz,42,40,.512,9.0,108.2,108.5,-0.67,9.0,82,241.2,42.3,89.5,0.473,0.8,3.1,0.259,41.5,86.4,0.48,23.1,30.3,0.764,14.7,30.6,45.3,24.1,9.2,5.7,18.7,27.1,108.5,Utah Jazz_1986,1986
15,Sacramento Kings,37,45,.451,14.0,108.8,111.9,-3.19,14.0,82,241.2,43.5,88.1,0.494,0.9,3.4,0.26,42.6,84.7,0.503,24.0,31.8,0.755,13.9,28.5,42.5,25.8,9.2,5.8,17.2,25.4,111.9,Sacramento Kings_1986,1986
16,San Antonio Spurs,35,47,.427,16.0,111.2,113.1,-2.06,17.0,82,241.5,44.3,89.8,0.493,1.2,3.9,0.304,43.1,85.9,0.501,23.4,30.4,0.769,14.1,28.1,42.2,27.7,9.8,5.5,18.5,25.7,113.1,San Antonio Spurs_1986,1986
17,Los Angeles Lakers,62,20,.756,—,117.3,109.5,6.84,10.0,82,241.8,43.6,90.9,0.48,0.6,3.0,0.206,43.0,87.8,0.49,21.7,28.9,0.751,13.5,27.1,40.6,27.3,9.7,4.4,16.2,24.3,109.5,Los Angeles Lakers_1986,1986
18,Portland Trail Blazers,40,42,.488,22.0,115.1,114.0,0.61,20.0,82,242.1,44.4,88.4,0.502,1.0,3.0,0.335,43.3,85.4,0.508,24.3,32.2,0.755,14.4,28.8,43.2,27.5,9.3,5.2,20.1,27.6,114.0,Portland Trail Blazers_1986,1986
19,Phoenix Suns,32,50,.390,30.0,110.0,113.0,-3.16,15.0,82,241.5,43.5,89.1,0.488,1.1,3.4,0.319,42.4,85.7,0.495,24.9,32.8,0.758,13.9,27.6,41.5,26.2,10.3,5.7,18.5,27.0,113.0,Phoenix Suns_1986,1986
20,Los Angeles Clippers,32,50,.390,30.0,108.6,115.5,-6.83,22.0,82,240.9,46.9,92.5,0.507,0.9,3.2,0.28,46.0,89.4,0.515,20.8,27.8,0.747,15.5,30.0,45.4,30.1,9.3,5.6,17.0,25.8,115.5,Los Angeles Clippers_1986,1986
