,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,New York Knicks,57,25,.695,—,98.5,91.5,6.48,1.0,82,240.9,33.9,78.7,0.431,3.1,10.1,0.307,30.9,68.6,0.45,20.5,28.5,0.719,12.4,27.4,39.8,20.5,8.3,4.1,17.3,23.1,91.5,New York Knicks_1994,1994
1,Orlando Magic,50,32,.610,7.0,105.7,101.8,3.68,13.0,82,240.6,39.8,86.9,0.458,3.6,10.3,0.349,36.2,76.6,0.473,18.6,25.0,0.745,14.6,28.1,42.7,25.6,9.2,5.4,15.0,22.5,101.8,Orlando Magic_1994,1994
2,New Jersey Nets,45,37,.549,12.0,103.2,101.0,2.11,12.0,82,241.8,39.8,86.9,0.458,2.9,9.0,0.318,37.0,77.9,0.475,18.5,24.9,0.743,13.9,30.8,44.8,23.4,8.7,7.1,15.2,23.2,101.0,New Jersey Nets_1994,1994
3,Miami Heat,42,40,.512,15.0,103.4,100.7,2.40,11.0,82,241.5,37.0,81.0,0.457,3.6,10.9,0.331,33.4,70.1,0.477,23.0,30.8,0.748,13.1,27.6,40.7,22.2,8.4,5.3,16.0,23.7,100.7,Miami Heat_1994,1994
4,Boston Celtics,32,50,.390,25.0,100.8,105.1,-4.28,21.0,82,242.7,40.9,85.8,0.477,2.8,8.1,0.347,38.1,77.7,0.491,20.4,27.0,0.754,13.8,30.6,44.4,25.5,8.4,5.0,15.5,21.2,105.1,Boston Celtics_1994,1994
5,Philadelphia 76ers,25,57,.305,32.0,98.0,105.6,-7.37,22.0,82,241.5,43.3,89.5,0.484,3.2,9.7,0.331,40.1,79.8,0.502,15.8,21.3,0.744,14.7,31.8,46.5,28.7,9.8,4.7,14.5,21.1,105.6,Philadelphia 76ers_1994,1994
6,Washington Bullets,24,58,.293,33.0,100.4,107.7,-7.13,26.0,82,240.3,43.5,85.7,0.508,3.1,8.8,0.349,40.5,76.9,0.526,17.6,24.3,0.723,13.6,28.8,42.5,25.8,9.9,5.7,15.7,22.2,107.7,Washington Bullets_1994,1994
7,Atlanta Hawks,57,25,.695,—,101.4,96.2,4.94,4.0,82,240.9,38.6,84.8,0.455,3.4,10.6,0.315,35.2,74.2,0.475,15.7,21.1,0.742,14.1,28.8,42.9,23.1,7.8,4.1,17.9,21.0,96.2,Atlanta Hawks_1994,1994
8,Chicago Bulls,55,27,.671,2.0,98.0,94.9,2.87,3.0,82,241.2,36.9,79.8,0.463,3.1,9.5,0.323,33.9,70.3,0.482,17.9,24.2,0.74,12.0,27.3,39.3,22.4,8.9,4.6,16.3,21.0,94.9,Chicago Bulls_1994,1994
9,Indiana Pacers,47,35,.573,10.0,101.0,97.5,3.26,8.0,82,240.9,36.3,80.7,0.45,3.3,9.9,0.335,33.0,70.7,0.466,21.6,29.5,0.73,13.8,26.3,40.1,23.2,10.1,4.7,16.3,24.2,97.5,Indiana Pacers_1994,1994
10,Cleveland Cavaliers,47,35,.573,10.0,101.2,97.1,3.64,7.0,82,242.1,38.2,82.2,0.464,3.1,8.9,0.354,35.0,73.3,0.478,17.6,24.0,0.735,12.9,28.5,41.4,24.5,7.7,5.6,15.8,21.9,97.1,Cleveland Cavaliers_1994,1994
11,Charlotte Hornets,41,41,.500,16.0,106.5,106.7,-0.23,24.0,82,241.8,42.2,89.7,0.471,3.9,11.2,0.346,38.4,78.6,0.488,18.4,24.8,0.74,14.8,30.1,44.9,25.8,7.7,5.2,15.4,21.5,106.7,Charlotte Hornets_1994,1994
12,Milwaukee Bucks,20,62,.244,37.0,96.9,103.4,-6.24,14.0,82,240.3,39.7,80.8,0.491,3.5,9.6,0.362,36.2,71.2,0.509,20.5,27.9,0.737,13.2,30.4,43.7,25.5,9.4,5.1,17.3,21.7,103.4,Milwaukee Bucks_1994,1994
13,Detroit Pistons,20,62,.244,37.0,96.9,104.7,-7.46,19.0,82,240.6,39.7,83.9,0.473,3.3,9.9,0.334,36.4,74.0,0.492,22.0,29.9,0.736,14.5,31.6,46.1,25.6,8.8,4.5,14.3,19.5,104.7,Detroit Pistons_1994,1994
14,Houston Rockets,58,24,.707,—,101.1,96.8,4.19,5.0,82,241.2,38.4,87.4,0.44,3.1,10.3,0.306,35.3,77.1,0.458,16.8,22.8,0.736,13.9,29.7,43.6,23.2,9.4,3.8,14.9,21.3,96.8,Houston Rockets_1994,1994
15,San Antonio Spurs,55,27,.671,3.0,100.0,94.8,5.05,2.0,82,241.2,37.4,83.9,0.446,3.5,10.6,0.333,33.9,73.3,0.462,16.5,22.9,0.719,13.3,26.3,39.5,21.6,7.7,4.2,12.4,21.8,94.8,San Antonio Spurs_1994,1994
16,Utah Jazz,53,29,.646,5.0,101.9,97.7,4.10,9.0,82,241.8,36.3,81.0,0.448,3.5,11.8,0.299,32.7,69.2,0.473,21.6,29.8,0.725,13.4,28.4,41.8,22.0,7.2,5.6,16.1,23.4,97.7,Utah Jazz_1994,1994
17,Denver Nuggets,42,40,.512,16.0,100.3,98.8,1.54,10.0,82,240.9,37.4,85.4,0.438,2.5,8.7,0.29,34.8,76.6,0.455,21.5,28.6,0.75,13.6,28.4,42.1,21.3,8.8,6.1,15.2,23.9,98.8,Denver Nuggets_1994,1994
18,Minnesota Timberwolves,20,62,.244,38.0,96.7,103.6,-6.55,16.0,82,240.6,39.6,83.8,0.472,2.8,9.0,0.308,36.8,74.8,0.492,21.7,29.9,0.727,13.4,28.0,41.4,25.7,10.0,6.7,14.2,22.6,103.6,Minnesota Timberwolves_1994,1994
19,Dallas Mavericks,13,69,.159,45.0,95.1,103.8,-8.19,17.0,82,240.6,39.2,79.4,0.494,3.0,8.4,0.362,36.1,71.0,0.509,22.5,30.5,0.737,13.4,30.5,44.0,24.0,9.5,6.2,17.4,20.1,103.8,Dallas Mavericks_1994,1994
20,Seattle SuperSonics,63,19,.768,—,105.9,96.9,8.68,6.0,82,240.6,35.7,78.8,0.453,4.0,11.5,0.345,31.7,67.2,0.472,21.5,29.0,0.741,13.2,26.7,39.9,22.0,8.4,5.1,20.3,23.0,96.9,Seattle SuperSonics_1994,1994
21,Phoenix Suns,56,26,.683,7.0,108.2,103.4,4.68,15.0,82,240.3,41.2,87.0,0.474,3.5,10.5,0.328,37.8,76.5,0.494,17.5,24.4,0.72,13.2,27.4,40.6,26.3,9.1,5.3,15.3,22.8,103.4,Phoenix Suns_1994,1994
22,Golden State Warriors,50,32,.610,13.0,107.9,106.1,1.76,23.0,82,241.2,41.8,89.4,0.468,3.7,10.6,0.351,38.1,78.8,0.483,18.8,25.7,0.731,16.1,29.4,45.5,26.6,10.3,5.0,17.4,22.8,106.1,Golden State Warriors_1994,1994
23,Portland Trail Blazers,47,35,.573,16.0,107.3,104.6,2.60,18.0,82,240.9,40.4,86.1,0.469,3.6,10.1,0.357,36.8,75.9,0.484,20.3,27.0,0.75,12.4,30.3,42.6,25.5,8.0,4.8,17.0,23.7,104.6,Portland Trail Blazers_1994,1994
24,Los Angeles Lakers,33,49,.402,30.0,100.4,104.7,-3.93,20.0,82,240.9,40.7,85.5,0.476,2.8,8.8,0.315,37.9,76.6,0.495,20.5,28.6,0.717,15.7,30.9,46.5,26.4,8.1,5.2,16.4,20.2,104.7,Los Angeles Lakers_1994,1994
