,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Orlando Magic,60,22,.732,—,104.5,99.0,5.40,14.0,82,242.1,37.3,82.1,0.454,6.0,16.5,0.366,31.3,65.6,0.477,18.3,24.8,0.736,13.3,28.8,42.1,22.8,7.9,4.0,15.1,22.3,99.0,Orlando Magic_1996,1996
1,New York Knicks,47,35,.573,13.0,97.2,94.9,2.24,4.0,82,241.8,34.9,78.9,0.442,5.4,16.0,0.337,29.5,62.9,0.468,19.8,26.7,0.74,12.1,29.6,41.7,20.4,8.0,3.4,15.8,21.5,94.9,New York Knicks_1996,1996
2,Miami Heat,42,40,.512,18.0,96.5,95.0,1.46,5.0,82,241.2,33.3,76.9,0.434,5.4,15.1,0.361,27.9,61.8,0.452,22.9,30.5,0.752,12.0,28.2,40.2,20.1,8.1,4.9,15.7,24.8,95.0,Miami Heat_1996,1996
3,Washington Bullets,39,43,.476,21.0,102.5,101.5,0.99,19.0,82,241.5,37.3,81.1,0.46,4.6,13.5,0.342,32.7,67.6,0.484,22.2,29.0,0.766,13.5,28.9,42.4,20.6,8.5,4.8,16.6,23.1,101.5,Washington Bullets_1996,1996
4,Boston Celtics,33,49,.402,27.0,103.6,107.0,-3.37,28.0,82,242.7,40.2,83.6,0.481,5.1,14.2,0.357,35.1,69.4,0.506,21.5,28.9,0.747,12.7,31.6,44.3,23.4,8.1,6.0,16.0,24.0,107.0,Boston Celtics_1996,1996
5,New Jersey Nets,30,52,.366,30.0,93.7,97.9,-4.14,12.0,82,242.7,36.7,80.8,0.454,6.6,17.3,0.384,30.0,63.5,0.473,18.0,24.3,0.74,12.5,28.7,41.3,22.9,8.1,6.3,15.5,23.5,97.9,New Jersey Nets_1996,1996
6,Philadelphia 76ers,18,64,.220,42.0,94.5,104.5,-9.45,26.0,82,240.6,40.0,82.9,0.483,6.4,17.3,0.37,33.6,65.5,0.513,18.0,24.2,0.741,14.2,30.2,44.4,25.7,8.8,5.7,15.7,23.3,104.5,Philadelphia 76ers_1996,1996
7,Chicago Bulls,72,10,.878,—,105.2,92.9,11.80,2.0,82,240.6,35.1,78.4,0.448,5.3,15.2,0.35,29.8,63.2,0.472,17.4,24.2,0.717,12.0,26.0,38.0,19.4,7.3,3.8,17.1,22.6,92.9,Chicago Bulls_1996,1996
8,Indiana Pacers,52,30,.634,20.0,99.3,96.1,3.11,7.0,82,240.9,34.6,76.7,0.452,6.0,16.7,0.36,28.6,60.0,0.477,20.8,28.1,0.74,12.2,25.0,37.3,21.0,8.1,5.1,15.4,24.9,96.1,Indiana Pacers_1996,1996
9,Cleveland Cavaliers,47,35,.573,25.0,91.1,88.5,2.49,1.0,82,241.8,32.6,70.6,0.462,6.3,16.1,0.388,26.4,54.5,0.484,17.1,22.5,0.759,10.7,26.4,37.1,22.2,6.1,4.1,15.6,20.3,88.5,Cleveland Cavaliers_1996,1996
10,Atlanta Hawks,46,36,.561,26.0,98.3,97.1,1.29,10.0,82,240.6,37.1,78.3,0.474,5.8,16.2,0.36,31.3,62.1,0.504,17.0,22.7,0.746,12.9,28.0,40.8,22.5,7.1,4.1,17.1,22.0,97.1,Atlanta Hawks_1996,1996
11,Detroit Pistons,46,36,.561,26.0,95.4,92.9,2.45,3.0,82,241.8,34.5,77.7,0.443,6.2,16.8,0.366,28.3,60.9,0.465,17.8,24.9,0.715,11.8,27.7,39.4,21.1,6.8,4.7,14.1,23.0,92.9,Detroit Pistons_1996,1996
12,Charlotte Hornets,41,41,.500,31.0,102.8,103.4,-0.48,24.0,82,242.4,39.7,81.1,0.489,6.5,16.3,0.396,33.2,64.8,0.513,17.6,23.9,0.736,11.6,28.8,40.4,25.0,6.5,4.5,14.8,22.3,103.4,Charlotte Hornets_1996,1996
13,Milwaukee Bucks,25,57,.305,47.0,95.6,100.9,-4.92,18.0,82,240.6,37.6,78.3,0.48,6.3,15.8,0.397,31.3,62.5,0.501,19.4,26.7,0.725,12.2,28.1,40.3,23.7,7.9,4.5,14.8,21.4,100.9,Milwaukee Bucks_1996,1996
14,Toronto Raptors,21,61,.256,51.0,97.5,105.0,-7.20,27.0,82,241.8,38.4,80.8,0.475,6.3,17.3,0.367,32.0,63.5,0.504,21.9,29.5,0.745,13.4,27.7,41.1,24.3,9.3,5.9,16.2,21.2,105.0,Toronto Raptors_1996,1996
15,San Antonio Spurs,59,23,.720,—,103.4,97.1,5.98,11.0,82,241.2,36.8,83.7,0.439,5.4,16.3,0.33,31.4,67.4,0.466,18.1,24.8,0.73,13.5,30.2,43.7,22.5,7.4,5.2,15.3,24.0,97.1,San Antonio Spurs_1996,1996
16,Utah Jazz,55,27,.671,4.0,102.5,95.9,6.25,6.0,82,241.2,33.5,75.3,0.445,6.7,17.4,0.385,26.8,57.9,0.463,22.2,29.5,0.751,11.4,26.2,37.6,20.0,7.1,5.0,15.7,24.2,95.9,Utah Jazz_1996,1996
17,Houston Rockets,48,34,.585,11.0,102.5,100.7,1.63,17.0,82,241.5,38.8,84.3,0.46,5.9,16.4,0.359,32.9,67.9,0.484,17.4,24.5,0.707,13.7,30.5,44.2,23.7,8.2,4.9,14.9,22.5,100.7,Houston Rockets_1996,1996
18,Denver Nuggets,35,47,.427,24.0,97.7,100.4,-2.62,16.0,82,241.8,37.7,82.2,0.459,5.5,15.1,0.367,32.2,67.1,0.479,19.5,25.7,0.76,11.4,29.1,40.5,22.9,7.5,5.1,13.8,23.2,100.4,Denver Nuggets_1996,1996
19,Minnesota Timberwolves,26,56,.317,33.0,97.9,103.2,-5.14,23.0,82,241.2,37.6,80.3,0.469,6.5,17.0,0.38,31.2,63.3,0.492,21.5,28.9,0.744,12.6,28.3,40.9,24.0,8.8,6.1,16.4,23.7,103.2,Minnesota Timberwolves_1996,1996
20,Dallas Mavericks,26,56,.317,33.0,102.5,107.5,-4.71,29.0,82,243.0,41.5,84.4,0.492,5.7,14.5,0.394,35.8,69.9,0.512,18.7,25.6,0.732,13.3,33.2,46.5,24.1,8.6,6.5,16.4,22.5,107.5,Dallas Mavericks_1996,1996
21,Vancouver Grizzlies,15,67,.183,44.0,89.8,99.8,-9.55,15.0,82,242.4,37.6,79.1,0.475,5.6,15.0,0.374,32.0,64.1,0.498,19.0,26.0,0.733,13.4,31.1,44.5,24.2,8.5,5.8,17.4,21.8,99.8,Vancouver Grizzlies_1996,1996
22,Seattle SuperSonics,64,18,.780,—,104.5,96.7,7.40,8.0,82,242.4,35.0,79.9,0.438,6.5,18.7,0.348,28.5,61.2,0.466,20.2,28.2,0.716,13.1,27.5,40.6,21.7,9.2,4.8,18.5,24.5,96.7,Seattle SuperSonics_1996,1996
