,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Toronto Raptors,49,33,.598,—,104.0,100.9,2.45,19.0,82,242.1,38.0,82.8,0.459,7.7,22.3,0.346,30.3,60.5,0.501,17.2,23.5,0.733,11.2,31.2,42.5,22.8,6.9,5.0,14.4,20.3,100.9,Toronto Raptors_2015,2015
1,Boston Celtics,40,42,.488,9.0,101.4,101.2,-0.40,21.0,82,242.4,38.1,84.7,0.45,7.4,22.0,0.336,30.7,62.7,0.49,17.6,23.3,0.755,10.9,33.8,44.7,21.9,7.1,5.3,15.1,18.8,101.2,Boston Celtics_2015,2015
2,Brooklyn Nets,38,44,.463,11.0,98.0,100.9,-3.13,18.0,82,243.0,38.4,84.3,0.456,8.5,23.7,0.358,29.9,60.6,0.494,15.6,21.3,0.731,11.4,32.9,44.3,23.7,7.8,4.5,13.9,20.0,100.9,Brooklyn Nets_2015,2015
3,Philadelphia 76ers,18,64,.220,31.0,92.0,101.0,-9.04,20.0,82,241.5,37.1,82.7,0.449,8.0,22.9,0.35,29.1,59.8,0.487,18.7,24.7,0.756,11.5,34.8,46.3,23.7,9.5,5.5,16.8,20.2,101.0,Philadelphia 76ers_2015,2015
4,New York Knicks,17,65,.207,32.0,91.9,101.2,-9.50,22.0,82,242.1,37.0,80.4,0.46,8.5,22.3,0.38,28.5,58.1,0.49,18.8,24.8,0.759,11.0,32.5,43.5,21.7,8.0,4.3,14.1,19.1,101.2,New York Knicks_2015,2015
5,Cleveland Cavaliers,53,29,.646,—,103.1,98.7,4.08,13.0,82,241.2,38.1,83.5,0.456,7.7,22.5,0.343,30.3,61.0,0.497,14.8,19.9,0.745,10.8,30.3,41.1,24.1,7.8,4.5,13.3,20.5,98.7,Cleveland Cavaliers_2015,2015
6,Chicago Bulls,50,32,.610,3.0,100.8,97.8,2.54,10.0,82,242.4,37.7,86.7,0.435,6.6,19.6,0.335,31.2,67.1,0.465,15.7,21.0,0.749,11.7,31.7,43.4,20.2,7.5,5.4,12.2,21.2,97.8,Chicago Bulls_2015,2015
7,Milwaukee Bucks,41,41,.500,12.0,97.8,97.4,-0.09,8.0,82,243.0,35.6,81.5,0.437,8.2,24.1,0.342,27.3,57.4,0.476,18.0,24.3,0.742,11.4,31.4,42.9,22.3,8.6,4.8,17.4,20.1,97.4,Milwaukee Bucks_2015,2015
8,Indiana Pacers,38,44,.463,15.0,97.3,97.0,-0.23,4.0,82,242.1,36.0,82.7,0.435,7.2,20.9,0.345,28.8,61.8,0.465,17.9,23.8,0.753,9.8,33.0,42.7,19.9,7.5,4.7,12.7,21.4,97.0,Indiana Pacers_2015,2015
9,Detroit Pistons,32,50,.390,21.0,98.5,99.5,-1.39,14.0,82,241.8,37.9,83.1,0.456,7.7,21.8,0.355,30.1,61.3,0.491,16.0,20.7,0.772,10.7,33.4,44.1,23.8,7.0,4.8,14.0,19.3,99.5,Detroit Pistons_2015,2015
10,Atlanta Hawks,60,22,.732,—,102.5,97.1,4.75,5.0,82,240.6,36.5,83.1,0.439,8.8,25.8,0.341,27.7,57.4,0.483,15.4,20.1,0.764,11.6,32.1,43.6,23.5,7.4,4.9,16.1,19.6,97.1,Atlanta Hawks_2015,2015
11,Washington Wizards,46,36,.561,14.0,98.5,97.8,0.17,9.0,82,243.4,36.2,83.5,0.433,8.0,23.0,0.349,28.1,60.5,0.465,17.5,23.7,0.738,10.0,31.7,41.7,19.9,8.0,4.3,14.0,19.6,97.8,Washington Wizards_2015,2015
12,Miami Heat,37,45,.451,23.0,94.7,97.3,-2.92,7.0,82,240.6,36.1,79.5,0.454,8.1,23.0,0.353,28.0,56.5,0.495,17.0,23.2,0.73,10.9,30.1,41.0,21.3,7.9,4.4,14.8,20.9,97.3,Miami Heat_2015,2015
13,Charlotte Hornets,33,49,.402,27.0,94.2,97.3,-3.44,6.0,82,242.7,36.8,83.7,0.44,7.9,22.1,0.357,28.9,61.5,0.47,15.8,20.4,0.772,8.9,35.2,44.1,22.1,6.1,5.4,12.6,20.8,97.3,Charlotte Hornets_2015,2015
14,Orlando Magic,25,57,.305,35.0,95.7,101.4,-5.87,23.0,82,240.9,38.0,82.0,0.463,8.3,22.6,0.368,29.6,59.4,0.499,17.2,22.9,0.751,10.1,33.4,43.5,23.4,7.7,5.4,14.5,17.9,101.4,Orlando Magic_2015,2015
15,Portland Trail Blazers,51,31,.622,—,102.8,98.6,4.41,12.0,82,242.1,38.2,86.9,0.439,6.4,18.9,0.338,31.8,67.9,0.468,15.8,20.9,0.758,11.0,33.6,44.6,20.4,8.0,3.6,12.2,18.7,98.6,Portland Trail Blazers_2015,2015
16,Oklahoma City Thunder,45,37,.549,6.0,104.0,101.8,2.47,24.0,82,241.8,37.6,85.5,0.44,8.3,24.2,0.343,29.3,61.3,0.479,18.2,24.5,0.745,11.2,31.5,42.7,22.1,7.8,4.6,13.6,20.4,101.8,Oklahoma City Thunder_2015,2015
17,Utah Jazz,38,44,.463,13.0,95.1,94.9,0.71,1.0,82,240.3,35.8,80.3,0.446,7.4,20.4,0.362,28.4,60.0,0.474,16.0,21.5,0.744,9.9,29.3,39.2,19.4,8.2,4.7,13.1,19.6,94.9,Utah Jazz_2015,2015
