,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Toronto Raptors,47,35,.573,—,99.5,98.5,0.61,16.0,82,240.9,37.2,80.4,0.463,6.5,18.2,0.357,30.7,62.2,0.494,17.6,23.3,0.754,10.3,32.2,42.5,21.2,6.0,3.9,15.1,21.8,98.5,Toronto Raptors_2007,2007
1,New Jersey Nets,41,41,.500,6.0,97.6,98.3,-1.00,13.0,82,242.4,35.5,79.0,0.45,6.3,17.7,0.357,29.2,61.2,0.476,21.0,27.6,0.762,10.6,30.8,41.4,22.0,7.1,4.5,14.5,23.0,98.3,New Jersey Nets_2007,2007
2,Philadelphia 76ers,35,47,.427,12.0,94.9,98.0,-3.26,11.0,82,242.4,37.1,80.1,0.463,6.1,17.4,0.353,30.9,62.8,0.493,17.7,23.5,0.754,11.8,29.3,41.1,22.3,7.4,3.9,15.6,22.0,98.0,Philadelphia 76ers_2007,2007
3,New York Knicks,33,49,.402,14.0,97.5,100.3,-3.06,20.0,82,244.0,36.8,80.1,0.46,7.0,18.6,0.376,29.9,61.5,0.485,19.7,26.0,0.756,10.8,28.0,38.8,21.3,7.5,5.0,13.7,22.9,100.3,New York Knicks_2007,2007
4,Boston Celtics,24,58,.293,23.0,95.8,99.2,-3.70,18.0,82,242.1,36.2,77.3,0.468,5.2,14.8,0.354,30.9,62.5,0.495,21.7,29.0,0.747,10.3,30.2,40.5,22.1,7.4,5.5,15.2,21.4,99.2,Boston Celtics_2007,2007
5,Detroit Pistons,53,29,.646,—,96.0,91.8,3.69,2.0,82,242.4,34.4,77.3,0.445,5.0,14.7,0.339,29.4,62.6,0.47,18.1,24.5,0.74,11.9,29.3,41.2,20.1,6.4,3.5,14.7,20.3,91.8,Detroit Pistons_2007,2007
6,Cleveland Cavaliers,50,32,.610,3.0,96.8,92.9,3.33,5.0,82,242.4,34.6,77.3,0.448,4.9,15.0,0.329,29.7,62.3,0.476,18.8,25.6,0.734,9.8,30.0,39.9,20.1,6.6,4.3,15.3,22.0,92.9,Cleveland Cavaliers_2007,2007
7,Chicago Bulls,49,33,.598,4.0,98.8,93.8,4.52,6.0,82,241.2,34.1,78.2,0.435,5.9,16.9,0.349,28.2,61.3,0.459,19.7,27.1,0.73,10.9,30.0,40.9,20.4,7.5,5.3,17.4,23.2,93.8,Chicago Bulls_2007,2007
8,Indiana Pacers,35,47,.427,18.0,95.6,98.0,-2.62,12.0,82,241.2,35.7,78.2,0.457,5.3,14.3,0.372,30.4,63.9,0.476,21.2,28.2,0.753,11.2,30.5,41.6,20.0,7.9,5.0,15.7,23.7,98.0,Indiana Pacers_2007,2007
9,Milwaukee Bucks,28,54,.341,25.0,99.7,104.0,-4.43,27.0,82,242.1,39.0,81.4,0.48,6.9,18.7,0.368,32.1,62.6,0.513,19.1,25.7,0.742,13.0,30.1,43.0,25.3,7.5,5.3,15.7,21.0,104.0,Milwaukee Bucks_2007,2007
