,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Boston Celtics,61,21,.744,—,113.5,105.7,7.37,6.0,82,242.4,41.9,89.2,0.47,0.9,3.2,0.286,41.0,86.0,0.477,20.9,27.1,0.77,14.2,28.0,42.2,22.8,8.4,5.1,19.9,25.1,105.7,Boston Celtics_1980,1980
1,Philadelphia 76ers,59,23,.720,2.0,109.1,104.9,4.04,4.0,82,242.1,42.0,92.2,0.455,0.9,3.4,0.271,41.1,88.8,0.463,20.0,26.2,0.765,16.1,28.7,44.8,25.5,10.7,4.7,19.0,25.6,104.9,Philadelphia 76ers_1980,1980
2,Washington Bullets,39,43,.476,22.0,107.0,109.5,-2.27,13.0,82,242.4,44.1,94.8,0.465,0.7,2.6,0.262,43.4,92.2,0.471,20.7,26.6,0.777,14.6,32.6,47.2,25.9,9.0,6.3,14.9,23.2,109.5,Washington Bullets_1980,1980
3,New York Knicks,39,43,.476,22.0,114.0,115.1,-0.96,20.0,82,241.2,45.2,91.4,0.495,0.7,2.4,0.278,44.5,89.0,0.501,24.0,31.2,0.77,15.8,29.7,45.4,26.1,9.9,4.8,20.7,24.9,115.1,New York Knicks_1980,1980
4,New Jersey Nets,34,48,.415,27.0,108.3,109.5,-0.98,12.0,82,241.5,42.4,90.6,0.469,0.7,2.5,0.279,41.7,88.0,0.474,23.9,31.4,0.761,15.7,31.7,47.3,26.7,10.4,6.3,20.6,24.9,109.5,New Jersey Nets_1980,1980
5,Atlanta Hawks,50,32,.610,—,104.5,101.6,2.83,1.0,82,241.2,38.3,83.8,0.458,0.6,2.2,0.251,37.8,81.6,0.463,24.4,31.9,0.765,15.4,28.5,43.9,21.4,8.3,6.8,20.2,26.5,101.6,Atlanta Hawks_1980,1980
6,Houston Rockets,41,41,.500,9.0,110.8,110.6,0.27,15.0,82,243.0,44.6,90.0,0.496,0.7,2.6,0.27,43.9,87.4,0.502,20.7,26.3,0.788,15.7,28.3,44.0,27.1,9.5,5.2,19.5,25.0,110.6,Houston Rockets_1980,1980
7,San Antonio Spurs,41,41,.500,9.0,119.4,119.7,-0.24,22.0,82,240.9,48.8,97.5,0.5,1.1,3.5,0.306,47.7,94.0,0.507,21.1,27.8,0.758,15.2,30.1,45.4,30.9,10.1,5.6,18.5,26.7,119.7,San Antonio Spurs_1980,1980
8,Indiana Pacers,37,45,.451,13.0,111.2,111.9,-0.54,17.0,82,242.1,45.0,92.0,0.489,0.7,2.8,0.246,44.4,89.2,0.497,21.1,28.0,0.756,17.0,31.1,48.1,28.3,9.0,5.7,21.4,24.7,111.9,Indiana Pacers_1980,1980
9,Cleveland Cavaliers,37,45,.451,13.0,114.1,113.8,0.43,19.0,82,243.0,46.5,92.8,0.501,0.8,2.7,0.291,45.7,90.1,0.507,20.1,26.2,0.765,15.0,32.2,47.2,26.9,8.6,6.0,20.3,24.8,113.8,Cleveland Cavaliers_1980,1980
