,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,New Jersey Nets,47,35,.573,—,90.3,87.8,1.88,4.0,82,240.3,32.8,76.9,0.427,5.1,14.5,0.35,27.7,62.3,0.445,17.0,22.3,0.761,10.6,30.1,40.8,19.8,8.0,4.6,16.1,21.2,87.8,New Jersey Nets_2004,2004
1,Miami Heat,42,40,.512,5.0,90.3,89.7,-0.13,8.0,82,240.9,32.4,75.7,0.428,5.3,15.3,0.343,27.2,60.4,0.45,19.7,25.6,0.768,10.9,30.3,41.2,18.6,7.0,5.4,14.7,21.1,89.7,Miami Heat_2004,2004
2,New York Knicks,39,43,.476,8.0,92.0,93.5,-1.97,13.0,82,242.4,34.0,79.2,0.429,5.1,15.0,0.338,28.9,64.2,0.45,20.5,26.8,0.763,11.6,29.8,41.4,20.4,8.2,4.7,13.8,19.5,93.5,New York Knicks_2004,2004
3,Boston Celtics,36,46,.439,11.0,95.3,96.7,-1.99,20.0,82,240.3,35.3,80.8,0.437,6.8,18.7,0.362,28.5,62.1,0.459,19.4,26.3,0.736,13.0,30.8,43.8,23.0,8.8,5.0,17.1,22.2,96.7,Boston Celtics_2004,2004
4,Philadelphia 76ers,33,49,.402,14.0,88.0,90.5,-2.95,10.0,82,242.1,33.5,77.7,0.432,5.4,16.2,0.333,28.1,61.5,0.458,18.0,24.2,0.744,12.1,29.2,41.4,21.3,8.3,5.6,15.2,21.4,90.5,Philadelphia 76ers_2004,2004
5,Washington Wizards,25,57,.305,22.0,91.8,97.4,-6.12,22.0,82,241.8,37.3,82.2,0.454,5.2,15.1,0.342,32.2,67.1,0.479,17.6,22.9,0.771,12.8,30.7,43.5,24.0,9.6,5.5,16.1,21.7,97.4,Washington Wizards_2004,2004
6,Orlando Magic,21,61,.256,26.0,94.0,101.1,-7.25,29.0,82,241.8,38.6,83.0,0.466,6.0,15.9,0.377,32.7,67.1,0.487,17.8,24.0,0.742,13.1,31.3,44.4,24.4,7.6,5.5,13.5,20.6,101.1,Orlando Magic_2004,2004
7,Indiana Pacers,61,21,.744,—,91.4,85.6,4.93,3.0,82,241.5,32.6,75.4,0.432,4.0,12.4,0.324,28.6,63.0,0.453,16.5,22.0,0.75,10.6,29.5,40.1,20.1,7.1,6.2,15.9,21.9,85.6,Indiana Pacers_2004,2004
8,Detroit Pistons,54,28,.659,7.0,90.1,84.3,5.04,2.0,82,241.2,32.1,77.8,0.413,4.3,14.4,0.302,27.8,63.4,0.438,15.7,21.1,0.744,12.0,28.7,40.6,19.0,7.9,5.0,16.0,22.9,84.3,Detroit Pistons_2004,2004
9,New Orleans Hornets,41,41,.500,20.0,91.8,91.9,-0.72,11.0,82,241.8,34.7,78.6,0.441,5.4,15.9,0.341,29.3,62.7,0.467,17.2,22.9,0.75,11.9,30.2,42.1,21.8,7.5,5.2,15.6,21.1,91.9,New Orleans Hornets_2004,2004
