,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
10,Milwaukee Bucks,41,41,.500,20.0,98.0,97.0,0.42,21.0,82,241.2,37.0,81.9,0.452,5.6,15.8,0.352,31.4,66.1,0.475,17.4,23.6,0.739,12.0,30.7,42.7,22.8,7.5,5.0,14.2,22.9,97.0,Milwaukee Bucks_2004,2004
11,Cleveland Cavaliers,35,47,.427,26.0,92.9,95.5,-3.07,17.0,82,242.1,36.0,82.4,0.437,5.3,14.2,0.371,30.8,68.3,0.451,18.2,24.3,0.749,11.8,30.2,42.0,21.7,7.7,5.3,13.1,20.2,95.5,Cleveland Cavaliers_2004,2004
12,Toronto Raptors,33,49,.402,28.0,85.4,88.5,-3.42,6.0,82,243.7,33.2,77.6,0.428,3.3,10.8,0.307,29.9,66.8,0.447,18.7,25.1,0.747,12.6,32.5,45.1,18.5,7.2,4.1,14.6,19.7,88.5,Toronto Raptors_2004,2004
13,Atlanta Hawks,28,54,.341,33.0,92.8,97.5,-5.00,23.0,82,242.7,36.2,82.2,0.44,5.9,16.4,0.358,30.3,65.8,0.461,19.2,25.3,0.76,12.8,30.3,43.1,22.0,8.9,5.1,14.0,20.7,97.5,Atlanta Hawks_2004,2004
14,Chicago Bulls,23,59,.280,38.0,89.7,96.0,-6.69,18.0,82,241.8,35.1,80.6,0.436,5.4,15.1,0.355,29.8,65.6,0.454,20.4,27.3,0.748,12.3,32.7,45.0,23.0,8.5,5.4,15.2,20.5,96.0,Chicago Bulls_2004,2004
15,Minnesota Timberwolves,58,24,.707,—,94.5,89.1,5.86,7.0,82,240.9,33.4,80.8,0.414,4.8,14.4,0.334,28.6,66.4,0.431,17.4,23.1,0.753,12.2,29.3,41.5,20.7,6.7,3.6,13.5,20.2,89.1,Minnesota Timberwolves_2004,2004
16,San Antonio Spurs,57,25,.695,1.0,91.5,84.3,7.51,1.0,82,240.9,31.9,77.9,0.409,3.8,11.6,0.327,28.1,66.3,0.423,16.7,22.5,0.744,11.1,30.0,41.1,17.3,7.7,4.6,15.3,22.4,84.3,San Antonio Spurs_2004,2004
17,Dallas Mavericks,52,30,.634,6.0,105.2,100.8,4.86,28.0,82,241.5,38.2,83.2,0.459,6.5,17.9,0.363,31.7,65.3,0.486,17.8,23.9,0.746,12.3,31.2,43.5,23.6,7.1,4.7,15.1,20.6,100.8,Dallas Mavericks_2004,2004
18,Memphis Grizzlies,50,32,.610,8.0,96.7,94.3,2.95,16.0,82,242.4,34.9,79.9,0.436,4.5,13.3,0.338,30.4,66.6,0.456,20.0,26.2,0.764,13.4,30.6,44.0,20.4,8.2,5.6,17.0,23.1,94.3,Memphis Grizzlies_2004,2004
19,Houston Rockets,45,37,.549,13.0,89.8,88.0,2.28,5.0,82,243.0,32.1,78.1,0.412,5.6,15.0,0.372,26.6,63.1,0.421,18.2,24.7,0.737,11.1,28.7,39.7,20.6,8.7,4.4,13.5,20.7,88.0,Houston Rockets_2004,2004
20,Denver Nuggets,43,39,.524,15.0,97.2,96.1,1.65,19.0,82,240.6,36.8,81.2,0.453,4.6,12.9,0.356,32.2,68.4,0.471,17.9,24.6,0.728,12.9,30.1,42.9,23.5,8.1,5.8,17.1,23.1,96.1,Denver Nuggets_2004,2004
21,Utah Jazz,42,40,.512,16.0,88.7,89.9,-0.53,9.0,82,241.2,31.0,71.7,0.432,5.1,14.7,0.343,25.9,57.0,0.455,22.9,29.6,0.771,10.6,26.0,36.6,18.6,8.1,6.5,15.4,24.4,89.9,Utah Jazz_2004,2004
22,Los Angeles Lakers,56,26,.683,—,98.2,94.3,4.35,15.0,82,242.1,35.6,81.0,0.44,5.1,15.2,0.337,30.5,65.8,0.464,18.0,24.0,0.749,11.2,31.2,42.4,20.8,7.5,3.8,15.3,24.7,94.3,Los Angeles Lakers_2004,2004
23,Sacramento Kings,55,27,.671,1.0,102.8,97.8,5.41,24.0,82,241.2,38.3,84.4,0.454,5.0,14.7,0.339,33.3,69.7,0.478,16.3,21.7,0.749,13.2,30.7,43.9,21.3,7.9,5.0,14.9,22.2,97.8,Sacramento Kings_2004,2004
24,Portland Trail Blazers,41,41,.500,15.0,90.7,92.0,-0.58,12.0,82,243.7,36.0,80.1,0.45,5.1,14.9,0.341,30.9,65.2,0.475,14.9,19.7,0.753,12.4,28.0,40.3,23.3,8.0,4.8,13.7,18.7,92.0,Portland Trail Blazers_2004,2004
25,Golden State Warriors,37,45,.451,19.0,93.3,94.0,-0.07,14.0,82,242.1,36.0,80.9,0.445,5.0,13.5,0.374,30.9,67.4,0.459,17.1,22.9,0.746,12.0,30.9,42.8,21.5,8.1,5.1,14.0,22.0,94.0,Golden State Warriors_2004,2004
26,Seattle SuperSonics,37,45,.451,19.0,97.1,97.8,0.02,25.0,82,241.5,36.3,80.8,0.45,5.9,17.0,0.349,30.4,63.8,0.477,19.1,24.7,0.774,13.0,29.6,42.7,21.1,7.7,4.7,14.8,20.2,97.8,Seattle SuperSonics_2004,2004
27,Phoenix Suns,29,53,.354,27.0,94.2,97.9,-2.94,26.0,82,240.6,36.3,81.4,0.446,5.8,16.8,0.349,30.4,64.6,0.471,19.5,25.5,0.765,12.7,31.1,43.8,21.5,7.9,5.3,15.9,19.4,97.9,Phoenix Suns_2004,2004
28,Los Angeles Clippers,28,54,.341,28.0,94.8,99.4,-3.74,27.0,82,241.5,37.5,81.5,0.46,5.5,15.3,0.36,32.0,66.2,0.483,18.8,25.4,0.741,12.6,28.8,41.4,22.9,8.5,5.3,13.7,22.7,99.4,Los Angeles Clippers_2004,2004
