,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Toronto Raptors,48,34,.585,—,101.3,98.0,2.55,7.0,82,243.4,36.1,80.2,0.45,6.9,19.2,0.36,29.1,60.9,0.478,19.0,25.3,0.752,10.4,30.5,41.0,21.0,7.3,4.3,14.9,22.1,98.0,Toronto Raptors_2014,2014
1,Brooklyn Nets,44,38,.537,4.0,98.5,99.5,-1.58,10.0,82,242.4,36.3,79.4,0.458,8.1,22.0,0.367,28.3,57.4,0.492,18.8,24.7,0.76,11.2,31.6,42.9,21.0,7.4,4.1,15.8,20.8,99.5,Brooklyn Nets_2014,2014
2,New York Knicks,37,45,.451,11.0,98.6,99.4,-1.40,9.0,82,242.1,35.8,78.1,0.458,8.7,23.4,0.371,27.1,54.6,0.496,19.1,25.0,0.765,10.3,31.7,42.0,19.7,6.3,3.4,14.5,19.6,99.4,New York Knicks_2014,2014
3,Boston Celtics,25,57,.305,23.0,96.2,100.7,-4.97,13.0,82,240.6,37.8,81.4,0.465,6.6,18.9,0.347,31.2,62.5,0.5,18.5,24.3,0.761,10.6,31.7,42.3,22.1,7.4,4.5,14.2,19.1,100.7,Boston Celtics_2014,2014
4,Philadelphia 76ers,19,63,.232,29.0,99.5,109.9,-10.66,30.0,82,242.1,40.0,85.1,0.471,9.0,24.4,0.37,31.0,60.7,0.511,20.8,27.6,0.754,11.9,35.0,46.9,26.1,9.0,6.8,17.0,20.6,109.9,Philadelphia 76ers_2014,2014
5,Indiana Pacers,56,26,.683,—,96.7,92.3,3.63,2.0,82,241.2,34.8,82.7,0.42,6.6,19.0,0.345,28.2,63.7,0.443,16.3,21.6,0.755,10.4,30.7,41.2,18.6,7.2,4.6,13.7,21.9,92.3,Indiana Pacers_2014,2014
6,Chicago Bulls,48,34,.585,8.0,93.7,91.8,1.20,1.0,82,243.0,35.0,81.2,0.43,6.6,18.7,0.351,28.4,62.5,0.454,15.3,20.3,0.753,10.7,30.6,41.3,19.6,7.6,6.0,14.4,20.9,91.8,Chicago Bulls_2014,2014
7,Cleveland Cavaliers,33,49,.402,23.0,98.2,101.5,-3.86,15.0,82,243.0,37.8,83.5,0.452,9.3,25.4,0.367,28.4,58.1,0.49,16.6,22.0,0.757,10.3,32.3,42.5,24.8,7.2,5.6,14.0,19.5,101.5,Cleveland Cavaliers_2014,2014
8,Detroit Pistons,29,53,.354,27.0,101.0,104.7,-4.13,27.0,82,241.2,39.1,83.2,0.47,8.3,22.8,0.365,30.8,60.3,0.51,18.1,24.0,0.756,11.1,31.9,43.0,24.4,8.2,4.9,15.0,20.7,104.7,Detroit Pistons_2014,2014
9,Milwaukee Bucks,15,67,.183,41.0,95.5,103.7,-8.41,25.0,82,242.4,38.4,82.0,0.468,8.5,22.3,0.382,29.9,59.7,0.5,18.4,24.5,0.751,11.7,31.8,43.5,22.8,7.8,5.0,14.1,20.6,103.7,Milwaukee Bucks_2014,2014
10,Miami Heat,54,28,.659,—,102.2,97.4,4.15,5.0,82,242.4,36.1,79.0,0.457,8.5,23.4,0.362,27.6,55.6,0.497,16.8,22.3,0.75,10.8,29.5,40.3,21.4,8.1,3.1,16.7,20.4,97.4,Miami Heat_2014,2014
11,Washington Wizards,44,38,.537,10.0,100.7,99.4,0.48,8.0,82,244.6,37.0,80.9,0.458,7.5,21.5,0.347,29.6,59.4,0.498,17.8,23.3,0.765,10.1,32.1,42.2,22.2,7.7,3.9,16.0,19.5,99.4,Washington Wizards_2014,2014
12,Charlotte Bobcats,43,39,.524,11.0,96.9,97.1,-0.89,4.0,82,242.7,36.9,83.4,0.442,8.1,22.0,0.369,28.7,61.4,0.468,15.3,20.1,0.759,9.6,33.7,43.3,21.0,6.3,5.1,13.3,20.9,97.1,Charlotte Bobcats_2014,2014
13,Atlanta Hawks,38,44,.463,16.0,101.0,101.5,-0.88,16.0,82,241.8,38.6,83.5,0.462,8.0,21.9,0.365,30.6,61.6,0.497,16.4,21.9,0.748,10.8,32.8,43.5,23.2,8.2,4.3,15.2,20.0,101.5,Atlanta Hawks_2014,2014
14,Orlando Magic,23,59,.280,31.0,96.5,102.0,-5.88,17.0,82,243.4,38.1,83.7,0.456,8.0,21.7,0.371,30.1,62.0,0.485,17.7,22.9,0.77,10.5,33.5,44.0,22.5,7.1,5.4,14.0,18.3,102.0,Orlando Magic_2014,2014
15,Oklahoma City Thunder,59,23,.720,—,106.2,99.8,6.66,12.0,82,241.5,36.4,83.4,0.436,8.6,24.0,0.358,27.8,59.4,0.468,18.4,25.4,0.727,11.0,30.0,40.9,21.8,8.2,3.6,15.2,20.4,99.8,Oklahoma City Thunder_2014,2014
16,Portland Trail Blazers,54,28,.659,5.0,106.7,102.8,4.44,22.0,82,242.1,39.6,87.8,0.451,6.5,18.3,0.355,33.1,69.5,0.476,17.0,22.2,0.766,11.5,32.0,43.5,20.4,7.8,3.7,12.0,20.7,102.8,Portland Trail Blazers_2014,2014
17,Minnesota Timberwolves,40,42,.488,19.0,106.9,104.3,3.10,26.0,82,242.1,40.5,86.0,0.471,8.1,22.2,0.364,32.4,63.8,0.508,15.2,20.1,0.756,11.1,33.1,44.2,22.9,7.9,5.6,16.4,23.6,104.3,Minnesota Timberwolves_2014,2014
18,Denver Nuggets,36,46,.439,23.0,104.4,106.5,-1.40,28.0,82,240.9,39.5,86.4,0.457,7.4,21.0,0.351,32.1,65.4,0.491,20.2,26.4,0.763,11.3,32.5,43.8,22.5,8.5,5.6,14.4,21.7,106.5,Denver Nuggets_2014,2014
19,Utah Jazz,25,57,.305,34.0,95.0,102.2,-6.27,18.0,82,241.2,38.3,81.0,0.473,7.3,19.4,0.376,31.0,61.6,0.503,18.3,23.7,0.773,10.3,32.2,42.5,21.8,7.5,4.9,12.6,20.4,102.2,Utah Jazz_2014,2014
20,Los Angeles Clippers,57,25,.695,—,107.9,101.0,7.27,14.0,82,240.9,37.4,84.9,0.441,7.3,21.8,0.332,30.2,63.0,0.479,18.9,25.0,0.755,12.3,31.4,43.7,23.3,7.0,3.5,15.4,23.4,101.0,Los Angeles Clippers_2014,2014
21,Golden State Warriors,51,31,.622,6.0,104.3,99.5,5.15,11.0,82,241.8,36.8,84.4,0.436,6.9,20.2,0.344,29.9,64.2,0.465,18.9,24.7,0.765,10.7,32.6,43.3,20.5,7.9,4.2,15.0,19.3,99.5,Golden State Warriors_2014,2014
22,Phoenix Suns,48,34,.585,9.0,105.2,102.6,3.02,21.0,82,240.9,38.0,83.4,0.456,6.8,19.9,0.341,31.2,63.5,0.492,19.8,25.8,0.766,11.3,31.5,42.8,20.3,7.5,4.0,15.3,21.3,102.6,Phoenix Suns_2014,2014
23,Sacramento Kings,28,54,.341,29.0,100.5,103.4,-2.08,24.0,82,241.8,37.8,82.1,0.461,8.5,22.4,0.38,29.4,59.8,0.491,19.2,26.1,0.737,9.9,31.3,41.2,23.5,7.8,5.6,13.6,23.1,103.4,Sacramento Kings_2014,2014
24,Los Angeles Lakers,27,55,.329,30.0,103.0,109.2,-5.33,29.0,82,240.3,42.0,89.6,0.468,8.1,22.5,0.361,33.8,67.2,0.504,17.2,23.7,0.727,13.0,36.0,49.0,25.8,9.6,4.7,14.2,19.3,109.2,Los Angeles Lakers_2014,2014
25,San Antonio Spurs,62,20,.756,—,105.4,97.6,8.00,6.0,82,240.9,37.8,85.1,0.444,6.5,18.3,0.353,31.3,66.8,0.469,15.7,20.6,0.76,10.5,31.7,42.2,20.4,7.7,4.6,13.9,19.3,97.6,San Antonio Spurs_2014,2014
