,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Boston Celtics,45,37,.549,—,101.3,100.4,0.35,22.0,82,242.4,36.1,81.3,0.444,6.0,16.7,0.356,30.1,64.6,0.467,22.3,29.5,0.753,12.7,29.6,42.3,22.7,8.7,4.9,15.6,23.6,100.4,Boston Celtics_2005,2005
1,Philadelphia 76ers,43,39,.524,2.0,99.1,99.9,-1.07,19.0,82,242.1,35.7,80.7,0.443,6.9,19.0,0.362,28.8,61.7,0.468,21.5,28.0,0.767,11.6,32.5,44.1,22.9,8.3,4.7,17.0,23.5,99.9,Philadelphia 76ers_2005,2005
2,New Jersey Nets,42,40,.512,3.0,91.4,92.9,-1.82,6.0,82,242.7,33.0,75.2,0.439,5.9,16.1,0.368,27.1,59.1,0.459,20.9,28.1,0.744,10.7,30.5,41.2,20.3,7.3,4.9,15.6,22.9,92.9,New Jersey Nets_2005,2005
3,Toronto Raptors,33,49,.402,12.0,99.7,101.4,-1.81,25.0,82,241.5,38.2,81.8,0.467,5.3,14.9,0.356,32.9,66.9,0.492,19.6,26.4,0.744,12.1,33.2,45.3,22.1,6.2,4.4,14.4,21.9,101.4,Toronto Raptors_2005,2005
4,New York Knicks,33,49,.402,12.0,97.3,99.7,-2.72,18.0,82,242.4,36.6,78.7,0.465,5.7,15.6,0.364,30.9,63.1,0.49,20.9,27.6,0.756,11.8,29.9,41.7,20.7,7.3,4.7,14.6,21.2,99.7,New York Knicks_2005,2005
5,Detroit Pistons,54,28,.659,—,93.3,89.5,3.31,2.0,82,243.4,34.0,79.2,0.43,5.0,14.8,0.338,29.0,64.4,0.451,16.4,21.8,0.751,11.3,28.3,39.6,19.7,7.4,4.5,13.8,22.6,89.5,Detroit Pistons_2005,2005
6,Chicago Bulls,47,35,.573,7.0,94.5,93.4,0.65,7.0,82,241.8,33.7,79.9,0.422,5.1,15.2,0.334,28.6,64.7,0.443,20.9,28.1,0.744,11.9,30.8,42.7,20.9,8.4,5.3,15.5,23.3,93.4,Chicago Bulls_2005,2005
7,Indiana Pacers,44,38,.537,10.0,93.0,92.2,0.49,5.0,82,242.7,33.8,76.6,0.44,4.8,13.1,0.365,29.0,63.6,0.456,20.0,26.9,0.743,11.9,29.5,41.3,18.8,6.7,4.9,13.9,23.0,92.2,Indiana Pacers_2005,2005
8,Cleveland Cavaliers,42,40,.512,12.0,96.5,95.7,0.27,11.0,82,242.1,35.5,78.6,0.452,5.1,13.7,0.376,30.4,64.9,0.468,19.5,26.0,0.75,11.4,28.3,39.8,21.2,6.7,5.1,14.8,21.6,95.7,Cleveland Cavaliers_2005,2005
9,Milwaukee Bucks,30,52,.366,24.0,97.2,100.2,-3.09,20.0,82,241.2,37.8,81.4,0.464,5.6,16.5,0.343,32.1,65.0,0.494,19.0,24.7,0.771,11.4,29.4,40.8,23.8,7.5,4.5,13.0,23.8,100.2,Milwaukee Bucks_2005,2005
10,Miami Heat,59,23,.720,—,101.5,95.0,5.77,8.0,82,243.7,34.9,81.8,0.427,5.4,15.5,0.348,29.6,66.3,0.446,19.8,26.0,0.76,11.2,29.2,40.5,19.8,7.5,3.2,13.2,24.6,95.0,Miami Heat_2005,2005
11,Washington Wizards,45,37,.549,14.0,100.5,100.8,-0.71,23.0,82,241.2,37.8,82.3,0.459,6.4,17.5,0.364,31.4,64.8,0.485,18.9,24.8,0.762,12.4,30.6,43.0,23.0,7.1,5.0,15.9,24.3,100.8,Washington Wizards_2005,2005
12,Orlando Magic,36,46,.439,23.0,99.5,101.8,-2.52,28.0,82,240.3,37.6,83.2,0.451,5.4,15.7,0.343,32.2,67.5,0.477,21.2,28.1,0.754,12.5,29.6,42.1,21.3,8.5,4.3,14.5,23.4,101.8,Orlando Magic_2005,2005
13,Charlotte Bobcats,18,64,.220,41.0,94.3,100.2,-6.15,21.0,82,242.4,36.8,79.4,0.463,5.4,14.9,0.361,31.4,64.4,0.487,21.3,27.8,0.767,11.7,31.5,43.2,21.6,7.6,5.4,15.8,22.7,100.2,Charlotte Bobcats_2005,2005
14,Atlanta Hawks,13,69,.159,46.0,92.7,102.5,-9.62,29.0,82,242.1,37.1,77.9,0.476,5.7,15.0,0.379,31.4,62.9,0.5,22.5,29.2,0.77,11.0,30.3,41.3,22.0,8.7,5.9,14.8,21.7,102.5,Atlanta Hawks_2005,2005
15,Seattle SuperSonics,52,30,.634,—,98.9,96.6,2.59,13.0,82,240.9,35.8,77.8,0.459,5.7,16.1,0.357,30.0,61.8,0.486,19.4,25.9,0.749,11.3,26.5,37.9,20.7,6.2,4.8,13.2,23.8,96.6,Seattle SuperSonics_2005,2005
16,Denver Nuggets,49,33,.598,3.0,99.5,97.5,2.23,17.0,82,240.9,36.0,80.6,0.447,5.6,16.4,0.345,30.3,64.2,0.472,19.9,26.7,0.746,11.9,29.8,41.7,21.7,7.8,5.6,16.4,23.9,97.5,Denver Nuggets_2005,2005
17,Minnesota Timberwolves,44,38,.537,8.0,96.8,95.3,1.73,9.0,82,240.9,36.2,82.6,0.438,5.7,15.7,0.363,30.5,66.9,0.456,17.2,22.9,0.752,12.6,28.8,41.4,21.7,6.6,3.9,11.7,19.9,95.3,Minnesota Timberwolves_2005,2005
