,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Boston Celtics,39,27,.591,—,91.8,89.3,2.26,2.0,66,241.5,33.4,79.7,0.419,5.2,16.9,0.308,28.2,62.8,0.449,17.2,22.7,0.76,11.8,31.4,43.2,18.7,7.8,4.6,15.7,18.4,89.3,Boston Celtics_2012,2012
1,New York Knicks,36,30,.545,3.0,97.8,94.7,2.39,11.0,66,241.5,35.1,79.4,0.442,6.7,18.8,0.359,28.4,60.6,0.468,17.7,24.1,0.736,10.9,31.0,41.8,18.9,8.1,5.1,17.0,21.8,94.7,New York Knicks_2012,2012
2,Philadelphia 76ers,35,31,.530,4.0,93.6,89.4,3.59,3.0,66,241.1,34.3,80.3,0.427,5.4,16.2,0.334,28.9,64.1,0.45,15.4,20.5,0.752,10.7,33.0,43.7,19.6,5.9,4.8,13.9,16.2,89.4,Philadelphia 76ers_2012,2012
3,Toronto Raptors,23,43,.348,16.0,90.7,94.0,-3.67,9.0,66,241.9,33.8,77.7,0.435,6.1,18.5,0.328,27.8,59.2,0.469,20.2,27.2,0.744,10.3,30.3,40.5,20.1,7.2,4.9,13.2,18.4,94.0,Toronto Raptors_2012,2012
4,New Jersey Nets,22,44,.333,17.0,93.1,99.1,-6.37,24.0,66,240.8,37.9,80.2,0.472,6.5,17.4,0.374,31.4,62.8,0.5,16.8,22.6,0.74,11.8,30.8,42.6,23.3,8.0,5.0,14.3,19.3,99.1,New Jersey Nets_2012,2012
5,Chicago Bulls,50,16,.758,—,96.3,88.2,7.43,1.0,66,241.5,34.6,82.1,0.421,4.6,14.2,0.325,30.0,67.9,0.442,14.3,19.4,0.74,11.4,28.6,40.0,18.9,7.4,5.2,13.3,17.7,88.2,Chicago Bulls_2012,2012
6,Indiana Pacers,42,24,.636,8.0,97.7,94.4,2.60,10.0,66,242.3,34.9,80.4,0.435,6.7,19.1,0.351,28.2,61.3,0.461,17.9,24.5,0.729,12.0,30.3,42.3,19.6,6.6,6.0,14.9,21.6,94.4,Indiana Pacers_2012,2012
7,Milwaukee Bucks,31,35,.470,19.0,99.0,98.7,-0.23,22.0,66,240.4,37.1,82.6,0.449,6.6,18.9,0.351,30.5,63.7,0.478,17.9,23.3,0.769,12.3,32.4,44.7,21.7,7.6,4.5,15.9,19.4,98.7,Milwaukee Bucks_2012,2012
8,Detroit Pistons,25,41,.379,25.0,90.9,95.7,-5.19,14.0,66,241.9,36.0,78.0,0.462,6.0,16.9,0.355,30.0,61.1,0.492,17.6,23.0,0.765,10.7,30.1,40.7,22.5,8.5,5.3,14.5,19.4,95.7,Detroit Pistons_2012,2012
9,Cleveland Cavaliers,21,45,.318,29.0,93.0,100.2,-7.34,26.0,66,241.9,38.4,82.3,0.467,6.8,18.7,0.362,31.6,63.6,0.498,16.6,22.2,0.748,11.4,31.4,42.8,23.1,7.9,6.2,13.9,20.9,100.2,Cleveland Cavaliers_2012,2012
10,Miami Heat,46,20,.697,—,98.5,92.5,5.72,4.0,66,243.0,34.6,79.8,0.434,7.3,20.0,0.363,27.4,59.8,0.457,16.0,22.1,0.725,11.0,28.7,39.8,19.7,8.3,4.2,16.8,20.5,92.5,Miami Heat_2012,2012
11,Atlanta Hawks,40,26,.606,6.0,96.6,93.2,2.67,6.0,66,244.9,36.1,81.3,0.444,5.9,17.2,0.344,30.1,64.1,0.47,15.1,20.1,0.753,10.8,31.5,42.3,20.5,7.5,4.7,15.1,19.1,93.2,Atlanta Hawks_2012,2012
12,Orlando Magic,37,29,.561,9.0,94.2,93.4,0.46,8.0,66,241.9,35.9,80.1,0.449,6.3,18.1,0.347,29.7,62.0,0.478,15.2,19.7,0.772,10.1,31.2,41.3,20.5,7.5,4.1,13.1,19.8,93.4,Orlando Magic_2012,2012
13,Washington Wizards,20,46,.303,26.0,93.6,98.4,-5.14,20.0,66,240.4,36.7,81.1,0.453,6.5,18.4,0.35,30.2,62.7,0.483,18.6,24.5,0.758,12.3,31.2,43.5,21.5,7.9,4.5,15.2,18.7,98.4,Washington Wizards_2012,2012
14,Charlotte Bobcats,7,59,.106,39.0,87.0,100.9,-13.96,27.0,66,240.8,38.9,82.0,0.475,6.2,17.3,0.356,32.8,64.7,0.506,16.9,22.5,0.75,11.8,33.2,45.0,23.3,7.6,5.7,13.5,20.3,100.9,Charlotte Bobcats_2012,2012
15,Oklahoma City Thunder,47,19,.712,—,103.1,96.9,6.44,17.0,66,242.3,36.4,85.3,0.427,6.4,18.7,0.342,30.1,66.6,0.451,17.7,23.0,0.768,12.7,28.6,41.3,19.9,8.2,4.9,14.2,20.0,96.9,Oklahoma City Thunder_2012,2012
16,Denver Nuggets,38,28,.576,9.0,104.1,101.2,3.16,29.0,66,243.0,38.5,84.4,0.456,8.7,22.6,0.383,29.8,61.8,0.483,15.6,20.5,0.759,11.1,29.2,40.3,23.2,7.9,6.7,15.6,22.0,101.2,Denver Nuggets_2012,2012
17,Utah Jazz,36,30,.545,11.0,99.7,99.0,0.92,23.0,66,244.9,36.4,80.5,0.453,6.5,19.1,0.34,29.9,61.4,0.488,19.7,26.2,0.754,11.0,30.1,41.2,20.5,7.5,5.7,14.7,20.7,99.0,Utah Jazz_2012,2012
18,Portland Trail Blazers,28,38,.424,19.0,97.2,97.8,-0.22,18.0,66,241.9,37.5,81.0,0.463,6.7,18.4,0.363,30.8,62.6,0.492,16.1,21.5,0.747,11.1,31.2,42.3,21.1,7.6,4.8,14.9,19.8,97.8,Portland Trail Blazers_2012,2012
19,Minnesota Timberwolves,26,40,.394,21.0,97.9,100.1,-1.83,25.0,66,241.5,39.0,85.7,0.455,6.2,18.1,0.34,32.8,67.6,0.486,16.0,21.2,0.755,11.7,31.8,43.4,21.5,8.3,5.7,13.3,21.7,100.1,Minnesota Timberwolves_2012,2012
20,Los Angeles Lakers,41,25,.621,—,97.3,95.9,1.96,15.0,66,243.4,37.8,86.4,0.437,6.7,19.3,0.348,31.0,67.1,0.463,13.7,18.4,0.742,11.5,29.5,41.0,21.9,8.4,4.6,11.3,20.2,95.9,Los Angeles Lakers_2012,2012
21,Los Angeles Clippers,40,26,.606,1.0,97.5,95.0,2.82,13.0,66,241.9,34.5,77.2,0.447,7.0,19.1,0.365,27.6,58.1,0.474,19.0,25.4,0.746,10.8,29.0,39.8,20.7,6.0,4.5,14.6,21.2,95.0,Los Angeles Clippers_2012,2012
22,Phoenix Suns,33,33,.500,8.0,98.4,98.6,0.29,21.0,66,240.0,38.0,83.5,0.455,6.0,17.1,0.352,31.9,66.3,0.481,16.7,21.9,0.762,12.2,31.3,43.4,21.5,8.0,4.4,14.1,19.6,98.6,Phoenix Suns_2012,2012
23,Golden State Warriors,23,43,.348,18.0,97.8,101.2,-2.79,28.0,66,241.1,37.3,82.3,0.453,7.1,19.4,0.365,30.2,62.9,0.48,19.5,26.1,0.747,13.2,32.7,45.8,23.1,7.6,5.0,14.8,16.6,101.2,Golden State Warriors_2012,2012
24,Sacramento Kings,22,44,.333,19.0,98.8,104.4,-4.95,30.0,66,241.1,40.4,85.0,0.476,6.7,18.7,0.355,33.8,66.3,0.51,16.9,22.2,0.762,12.3,32.6,45.0,23.8,7.8,6.4,15.4,19.9,104.4,Sacramento Kings_2012,2012
25,San Antonio Spurs,50,16,.758,—,103.7,96.5,7.28,16.0,66,241.5,38.1,84.2,0.452,6.2,17.7,0.353,31.8,66.6,0.478,14.1,18.7,0.756,10.3,30.9,41.2,19.6,7.4,5.0,13.7,18.8,96.5,San Antonio Spurs_2012,2012
26,Memphis Grizzlies,41,25,.621,9.0,95.0,93.0,2.43,5.0,66,241.5,34.5,77.8,0.444,6.3,18.3,0.345,28.2,59.4,0.474,17.6,23.1,0.764,11.0,29.6,40.7,19.3,7.8,5.5,17.1,19.3,93.0,Memphis Grizzlies_2012,2012
27,Dallas Mavericks,36,30,.545,14.0,95.8,94.8,1.78,12.0,66,243.4,35.6,81.7,0.435,7.2,20.7,0.346,28.4,60.9,0.466,16.5,22.1,0.75,11.0,32.9,43.9,20.5,8.5,4.0,14.7,18.4,94.8,Dallas Mavericks_2012,2012
28,Houston Rockets,34,32,.515,16.0,98.1,97.9,0.57,19.0,66,243.4,37.5,82.2,0.456,5.6,17.2,0.325,31.9,65.0,0.491,17.3,22.6,0.766,11.0,30.7,41.8,20.0,7.5,5.2,14.7,18.4,97.9,Houston Rockets_2012,2012
29,New Orleans Hornets,21,45,.318,29.0,89.6,93.4,-3.11,7.0,66,241.5,34.9,78.6,0.444,6.4,20.3,0.317,28.5,58.3,0.489,17.1,22.5,0.759,11.1,28.9,40.0,20.9,7.9,5.8,13.9,18.7,93.4,New Orleans Hornets_2012,2012
