,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,New York Knicks,60,22,.732,—,101.6,95.4,5.87,1.0,82,243.0,34.4,80.7,0.426,2.8,9.2,0.305,31.6,71.6,0.442,23.8,31.5,0.755,12.6,28.4,40.9,20.2,8.0,4.7,16.6,24.5,95.4,New York Knicks_1993,1993
1,Boston Celtics,48,34,.585,12.0,103.7,102.8,0.93,8.0,82,241.2,39.4,85.1,0.463,2.6,7.9,0.332,36.8,77.2,0.476,21.3,27.7,0.771,13.3,29.0,42.3,24.0,7.8,4.7,14.4,20.4,102.8,Boston Celtics_1993,1993
2,New Jersey Nets,43,39,.524,17.0,102.8,101.6,1.20,6.0,82,241.2,39.4,84.7,0.465,2.5,7.5,0.325,37.0,77.2,0.479,20.3,27.4,0.741,13.4,28.6,42.0,21.8,9.5,5.1,15.9,22.9,101.6,New Jersey Nets_1993,1993
3,Orlando Magic,41,41,.500,19.0,105.5,104.2,1.35,11.0,82,242.4,40.3,88.5,0.456,3.0,9.2,0.329,37.3,79.3,0.471,20.5,28.1,0.729,14.2,27.7,41.9,25.5,8.7,4.9,13.6,24.1,104.2,Orlando Magic_1993,1993
4,Miami Heat,36,46,.439,24.0,103.6,104.7,-0.93,12.0,82,244.0,39.4,82.8,0.476,3.2,9.5,0.339,36.2,73.3,0.494,22.7,29.5,0.77,12.6,29.6,42.1,24.0,8.0,5.2,15.9,25.0,104.7,Miami Heat_1993,1993
5,Philadelphia 76ers,26,56,.317,34.0,104.3,110.1,-5.25,23.0,82,243.0,44.7,92.0,0.486,3.4,9.5,0.358,41.3,82.5,0.5,17.3,22.9,0.755,15.3,32.1,47.5,29.3,9.5,6.0,15.7,21.8,110.1,Philadelphia 76ers_1993,1993
6,Washington Bullets,22,60,.268,38.0,101.9,108.9,-6.49,22.0,82,241.5,43.4,88.0,0.493,2.9,8.7,0.336,40.5,79.3,0.51,19.2,25.7,0.749,13.8,31.2,45.0,25.1,8.8,5.2,15.6,22.2,108.9,Washington Bullets_1993,1993
7,Chicago Bulls,57,25,.695,—,105.2,98.9,6.19,2.0,82,241.8,38.3,80.8,0.474,3.0,8.4,0.361,35.3,72.4,0.487,19.3,24.8,0.779,12.7,27.6,40.3,23.4,7.3,4.4,16.7,21.1,98.9,Chicago Bulls_1993,1993
8,Cleveland Cavaliers,54,28,.659,3.0,107.7,101.3,6.30,4.0,82,241.8,41.1,88.2,0.466,2.8,8.5,0.329,38.3,79.7,0.481,16.3,21.2,0.766,13.6,29.0,42.6,25.7,7.4,4.5,14.7,22.3,101.3,Cleveland Cavaliers_1993,1993
9,Charlotte Hornets,44,38,.537,13.0,110.1,110.4,-0.02,24.0,82,240.9,44.3,93.9,0.472,2.9,9.2,0.311,41.5,84.7,0.49,18.9,25.4,0.744,16.5,29.3,45.8,27.8,7.3,5.3,15.2,23.5,110.4,Charlotte Hornets_1993,1993
10,Atlanta Hawks,43,39,.524,14.0,107.5,108.4,-0.67,21.0,82,241.8,42.8,86.3,0.496,3.4,10.2,0.337,39.4,76.1,0.517,19.3,25.5,0.758,13.2,29.4,42.6,26.7,9.0,4.4,16.6,22.9,108.4,Atlanta Hawks_1993,1993
11,Indiana Pacers,41,41,.500,16.0,107.8,106.1,1.77,17.0,82,240.9,39.8,84.8,0.469,2.6,8.6,0.306,37.1,76.2,0.487,23.9,32.1,0.743,14.5,28.6,43.1,24.2,8.5,4.7,14.4,24.1,106.1,Indiana Pacers_1993,1993
12,Detroit Pistons,40,42,.488,17.0,100.6,102.0,-1.10,7.0,82,241.2,40.5,84.2,0.481,3.2,9.4,0.339,37.3,74.8,0.499,17.8,24.2,0.736,13.4,29.8,43.2,25.0,7.6,4.4,14.9,22.0,102.0,Detroit Pistons_1993,1993
13,Milwaukee Bucks,28,54,.341,29.0,102.3,106.1,-3.26,16.0,82,240.6,40.3,83.5,0.483,3.3,9.5,0.344,37.0,73.9,0.501,22.2,29.7,0.748,15.5,29.2,44.7,25.5,9.4,5.6,18.0,22.1,106.1,Milwaukee Bucks_1993,1993
14,Houston Rockets,55,27,.671,—,104.0,99.8,3.57,3.0,82,241.2,39.7,86.9,0.457,3.0,8.9,0.332,36.7,78.0,0.471,17.5,22.9,0.763,14.2,28.0,42.2,24.0,8.7,4.0,15.0,21.9,99.8,Houston Rockets_1993,1993
15,San Antonio Spurs,49,33,.598,6.0,105.5,102.8,2.21,9.0,82,242.1,40.1,87.5,0.458,3.3,9.1,0.361,36.8,78.4,0.47,19.3,25.0,0.772,13.2,29.1,42.3,23.2,8.0,4.5,13.8,24.4,102.8,San Antonio Spurs_1993,1993
16,Utah Jazz,47,35,.573,8.0,106.2,104.0,1.74,10.0,82,240.9,39.7,85.0,0.467,3.3,10.2,0.325,36.4,74.8,0.487,21.3,28.6,0.744,13.7,28.2,41.9,23.5,7.9,5.7,15.7,24.0,104.0,Utah Jazz_1993,1993
17,Denver Nuggets,36,46,.439,19.0,105.2,106.9,-2.14,20.0,82,241.8,40.5,88.0,0.461,2.7,7.9,0.343,37.8,80.1,0.472,23.2,30.7,0.754,14.1,30.5,44.7,23.0,9.1,6.1,16.3,24.2,106.9,Denver Nuggets_1993,1993
18,Minnesota Timberwolves,19,63,.232,36.0,98.1,105.9,-7.62,15.0,82,242.1,40.5,83.1,0.488,2.5,7.0,0.36,38.0,76.0,0.5,22.3,29.4,0.758,13.7,28.4,42.1,26.1,9.0,6.0,15.0,22.9,105.9,Minnesota Timberwolves_1993,1993
19,Dallas Mavericks,11,71,.134,44.0,99.3,114.5,-14.68,27.0,82,240.6,41.5,82.7,0.501,2.9,8.0,0.358,38.6,74.8,0.517,28.7,37.5,0.766,13.0,33.4,46.4,25.0,9.8,6.3,15.5,22.7,114.5,Dallas Mavericks_1993,1993
20,Phoenix Suns,62,20,.756,—,113.4,106.7,6.27,18.0,82,240.6,42.7,89.1,0.479,3.0,9.1,0.333,39.6,80.0,0.496,18.3,25.3,0.723,13.6,28.2,41.9,25.7,8.6,6.2,16.2,24.9,106.7,Phoenix Suns_1993,1993
21,Seattle SuperSonics,55,27,.671,7.0,108.3,101.3,6.66,5.0,82,241.2,38.3,81.8,0.469,3.3,9.9,0.337,35.0,71.9,0.487,21.3,28.0,0.759,13.1,27.1,40.2,22.4,8.0,5.0,18.5,22.6,101.3,Seattle SuperSonics_1993,1993
22,Portland Trail Blazers,51,31,.622,11.0,108.5,105.4,2.92,13.0,82,242.7,40.7,86.9,0.468,3.4,9.9,0.342,37.3,77.0,0.485,20.6,27.1,0.76,12.5,30.8,43.3,25.1,7.9,5.5,17.1,25.5,105.4,Portland Trail Blazers_1993,1993
23,Los Angeles Clippers,41,41,.500,21.0,107.1,106.8,0.33,19.0,82,241.5,40.4,86.0,0.47,3.4,9.6,0.348,37.0,76.4,0.485,22.6,29.7,0.763,14.4,29.7,44.1,24.0,9.3,5.5,17.6,21.6,106.8,Los Angeles Clippers_1993,1993
24,Los Angeles Lakers,39,43,.476,23.0,104.2,105.5,-1.20,14.0,82,241.8,41.9,86.8,0.483,3.0,8.9,0.337,38.9,77.9,0.5,18.6,25.0,0.746,14.1,29.4,43.5,26.0,8.4,4.7,16.3,22.8,105.5,Los Angeles Lakers_1993,1993
25,Golden State Warriors,34,48,.415,28.0,109.9,110.9,-0.94,25.0,82,242.7,42.3,87.8,0.482,3.3,9.7,0.343,39.0,78.1,0.5,22.9,30.4,0.755,14.3,28.6,42.9,25.6,10.0,5.6,16.5,24.3,110.9,Golden State Warriors_1993,1993
26,Sacramento Kings,25,57,.305,37.0,107.9,111.1,-3.00,26.0,82,241.2,41.7,85.7,0.487,2.6,8.3,0.313,39.1,77.4,0.506,25.0,33.1,0.758,13.9,31.2,45.1,25.3,9.4,6.7,17.9,24.5,111.1,Sacramento Kings_1993,1993
