,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Boston Celtics,63,19,.768,—,114.8,108.1,6.47,4.0,82,240.3,44.4,93.2,0.477,0.9,3.3,0.264,43.5,89.9,0.484,18.4,23.4,0.787,13.5,27.9,41.4,24.9,7.8,3.8,14.9,24.0,108.1,Boston Celtics_1985,1985
1,Philadelphia 76ers,58,24,.707,5.0,112.9,108.8,4.17,6.0,82,241.5,42.6,87.3,0.488,1.0,3.8,0.257,41.6,83.5,0.499,22.6,29.2,0.775,14.4,26.5,40.9,26.1,9.2,4.8,18.7,26.9,108.8,Philadelphia 76ers_1985,1985
2,New Jersey Nets,42,40,.512,21.0,109.5,109.2,0.64,9.0,82,240.9,42.9,85.9,0.499,1.0,3.2,0.302,41.9,82.7,0.507,22.5,29.9,0.753,13.2,29.3,42.5,24.1,8.3,4.3,18.2,23.6,109.2,New Jersey Nets_1985,1985
3,Washington Bullets,40,42,.488,23.0,105.5,105.8,0.15,2.0,82,242.1,42.6,87.5,0.487,0.8,2.8,0.284,41.8,84.7,0.493,19.8,26.5,0.747,13.6,32.6,46.2,24.2,7.7,4.8,17.9,22.4,105.8,Washington Bullets_1985,1985
4,New York Knicks,24,58,.293,39.0,105.2,109.8,-4.09,12.0,82,241.8,40.6,82.1,0.495,0.8,2.8,0.293,39.8,79.3,0.502,27.8,36.7,0.759,14.9,29.3,44.1,26.1,8.1,5.4,19.4,24.9,109.8,New York Knicks_1985,1985
5,Milwaukee Bucks,59,23,.720,—,110.9,104.0,6.69,1.0,82,241.5,39.2,85.0,0.461,1.0,3.8,0.26,38.2,81.3,0.47,24.6,32.9,0.748,15.1,28.0,43.0,23.2,7.8,4.7,19.0,25.7,104.0,Milwaukee Bucks_1985,1985
6,Detroit Pistons,46,36,.561,13.0,116.0,113.5,2.73,18.0,82,241.8,45.1,90.9,0.496,1.0,3.0,0.313,44.2,87.9,0.502,22.3,29.3,0.76,13.5,31.3,44.8,25.7,7.8,6.2,18.1,24.6,113.5,Detroit Pistons_1985,1985
7,Chicago Bulls,38,44,.463,21.0,108.7,109.6,-0.50,11.0,82,241.5,42.9,87.9,0.488,1.1,3.6,0.312,41.8,84.4,0.496,22.6,29.2,0.774,13.9,27.6,41.4,24.9,8.1,5.5,16.1,24.9,109.6,Chicago Bulls_1985,1985
8,Cleveland Cavaliers,36,46,.439,23.0,108.6,111.3,-2.27,15.0,82,241.2,43.3,90.4,0.478,0.9,3.1,0.277,42.4,87.3,0.485,24.0,31.1,0.769,14.8,29.9,44.6,27.0,7.5,5.2,16.5,25.6,111.3,Cleveland Cavaliers_1985,1985
9,Atlanta Hawks,34,48,.415,25.0,106.6,108.1,-1.14,5.0,82,242.1,42.7,88.6,0.482,0.6,2.6,0.217,42.2,86.0,0.49,22.0,29.1,0.758,16.2,29.4,45.6,25.5,8.2,4.5,18.1,24.0,108.1,Atlanta Hawks_1985,1985
