,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,New Jersey Nets,52,30,.634,—,96.2,92.0,3.67,5.0,82,241.8,34.9,81.3,0.429,5.0,14.3,0.348,29.9,67.0,0.446,17.4,23.0,0.753,12.2,30.7,42.9,19.1,8.2,5.4,16.1,20.3,92.0,New Jersey Nets_2002,2002
1,Boston Celtics,49,33,.598,3.0,96.4,94.1,1.75,9.0,82,241.8,34.1,80.2,0.425,6.3,18.4,0.34,27.8,61.8,0.45,19.7,25.5,0.771,11.6,34.2,45.9,22.0,7.6,5.8,16.3,21.1,94.1,Boston Celtics_2002,2002
2,Orlando Magic,44,38,.537,8.0,100.5,98.9,1.25,27.0,82,241.8,38.0,83.3,0.456,5.0,14.2,0.352,33.0,69.1,0.478,17.9,24.3,0.737,13.2,32.1,45.4,23.5,8.0,4.7,15.8,21.2,98.9,Orlando Magic_2002,2002
3,Philadelphia 76ers,43,39,.524,9.0,91.0,89.4,1.27,2.0,82,240.6,33.8,79.3,0.426,5.3,16.1,0.331,28.5,63.1,0.451,16.5,21.9,0.751,12.0,28.6,40.6,21.6,8.0,5.6,14.7,22.3,89.4,Philadelphia 76ers_2002,2002
4,Washington Wizards,37,45,.451,15.0,92.8,94.2,-1.58,11.0,82,240.6,36.0,79.7,0.452,5.1,14.5,0.354,30.9,65.2,0.474,17.0,22.5,0.755,11.7,29.0,40.7,22.2,7.0,5.0,13.4,20.9,94.2,Washington Wizards_2002,2002
5,Miami Heat,36,46,.439,16.0,87.2,88.7,-1.84,1.0,82,243.0,32.5,76.6,0.425,4.6,13.5,0.342,27.9,63.0,0.442,19.1,25.9,0.736,10.9,30.3,41.2,17.8,7.6,4.3,13.8,20.8,88.7,Miami Heat_2002,2002
6,New York Knicks,30,52,.366,22.0,91.6,95.6,-4.15,14.0,82,241.5,35.7,80.1,0.445,5.4,15.3,0.353,30.3,64.8,0.467,18.9,25.0,0.757,11.7,31.0,42.7,21.5,8.4,4.7,13.5,20.4,95.6,New York Knicks_2002,2002
7,Detroit Pistons,50,32,.610,—,94.3,92.2,1.69,6.0,82,240.0,35.7,79.8,0.447,4.4,12.1,0.362,31.3,67.7,0.462,16.5,21.8,0.755,12.1,30.6,42.7,20.0,7.9,4.1,15.5,22.9,92.2,Detroit Pistons_2002,2002
8,Charlotte Hornets,44,38,.537,6.0,93.9,92.9,0.57,7.0,82,240.9,34.8,80.4,0.432,5.3,14.1,0.375,29.5,66.3,0.444,18.1,23.6,0.768,11.7,29.3,41.0,20.0,7.6,5.1,13.9,20.8,92.9,Charlotte Hornets_2002,2002
9,Toronto Raptors,42,40,.512,8.0,91.4,91.8,-0.71,4.0,82,240.9,34.4,77.9,0.441,4.6,13.3,0.346,29.8,64.6,0.461,18.5,24.5,0.752,12.1,29.7,41.8,19.9,7.7,4.8,15.2,19.7,91.8,Toronto Raptors_2002,2002
