,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Boston Celtics,56,26,.683,—,111.5,105.7,5.22,15.0,82,241.5,41.7,92.2,0.452,2.3,7.5,0.313,39.4,84.7,0.465,20.0,25.4,0.786,14.5,26.9,41.4,25.0,9.0,4.6,13.7,20.2,105.7,Boston Celtics_1991,1991
1,Philadelphia 76ers,44,38,.537,12.0,105.4,105.6,-0.39,14.0,82,244.9,43.1,90.6,0.476,2.4,8.0,0.297,40.7,82.6,0.493,16.9,21.9,0.774,14.1,30.7,44.8,27.1,8.4,4.8,14.4,22.7,105.6,Philadelphia 76ers_1991,1991
2,New York Knicks,39,43,.476,17.0,103.1,103.3,-0.43,7.0,82,243.4,41.6,87.3,0.476,2.2,6.6,0.336,39.4,80.7,0.488,17.9,23.2,0.773,13.6,28.5,42.1,24.4,8.8,4.5,15.1,22.1,103.3,New York Knicks_1991,1991
3,Washington Bullets,30,52,.366,26.0,101.4,106.4,-4.84,17.0,82,242.1,41.4,88.8,0.466,2.0,6.8,0.299,39.4,82.0,0.48,21.5,27.9,0.771,15.0,30.2,45.2,22.7,8.9,6.0,15.3,21.7,106.4,Washington Bullets_1991,1991
4,New Jersey Nets,26,56,.317,30.0,102.9,107.5,-4.53,19.0,82,241.8,41.1,87.9,0.468,1.7,5.4,0.308,39.5,82.5,0.479,23.5,30.4,0.773,15.7,30.8,46.5,21.2,10.1,6.6,17.7,23.1,107.5,New Jersey Nets_1991,1991
5,Miami Heat,24,58,.293,32.0,101.8,107.8,-5.91,21.0,82,241.2,40.7,85.0,0.478,2.1,6.3,0.337,38.6,78.8,0.489,24.4,31.7,0.767,14.3,28.8,43.2,24.5,10.4,6.1,17.9,23.9,107.8,Miami Heat_1991,1991
6,Chicago Bulls,61,21,.744,—,110.0,101.0,8.57,4.0,82,240.9,39.8,84.0,0.475,2.3,7.6,0.304,37.5,76.3,0.492,19.0,24.6,0.77,13.0,26.4,39.3,24.6,7.7,4.2,17.1,22.3,101.0,Chicago Bulls_1991,1991
7,Detroit Pistons,50,32,.610,11.0,100.1,96.8,3.08,1.0,82,241.5,37.2,82.2,0.453,1.9,6.1,0.312,35.3,76.1,0.464,20.4,26.5,0.77,12.2,27.7,40.0,21.2,7.1,3.5,13.7,24.2,96.8,Detroit Pistons_1991,1991
8,Milwaukee Bucks,48,34,.585,13.0,106.4,104.0,2.33,10.0,82,242.1,40.1,82.6,0.486,2.3,7.0,0.329,37.8,75.6,0.5,21.4,28.2,0.759,13.5,28.2,41.7,24.7,8.6,5.6,18.7,23.3,104.0,Milwaukee Bucks_1991,1991
9,Atlanta Hawks,43,39,.524,18.0,109.8,109.0,0.72,23.0,82,240.9,43.5,88.0,0.494,2.6,7.6,0.349,40.9,80.5,0.508,19.4,25.2,0.767,13.2,30.5,43.6,28.3,8.4,4.4,15.7,24.8,109.0,Atlanta Hawks_1991,1991
10,Indiana Pacers,41,41,.500,20.0,111.7,112.1,-0.37,25.0,82,241.5,43.6,89.0,0.49,2.3,7.4,0.305,41.4,81.6,0.507,22.6,30.4,0.743,14.7,28.2,42.9,25.2,8.9,4.3,15.4,24.8,112.1,Indiana Pacers_1991,1991
11,Cleveland Cavaliers,33,49,.402,28.0,101.7,104.2,-2.33,11.0,82,241.8,42.2,86.8,0.486,2.0,6.2,0.323,40.2,80.6,0.498,17.9,23.4,0.764,13.4,29.2,42.6,26.2,8.7,4.8,15.0,23.1,104.2,Cleveland Cavaliers_1991,1991
12,Charlotte Hornets,26,56,.317,35.0,102.8,108.0,-4.95,22.0,82,241.5,41.6,84.3,0.493,1.9,6.1,0.316,39.6,78.2,0.507,23.0,29.8,0.772,14.0,30.7,44.7,26.1,8.2,5.9,17.1,22.5,108.0,Charlotte Hornets_1991,1991
13,San Antonio Spurs,55,27,.671,—,107.1,102.6,4.30,5.0,82,241.8,39.8,88.9,0.448,2.7,8.6,0.31,37.2,80.3,0.463,20.3,26.7,0.761,13.7,27.7,41.4,23.5,9.8,5.3,15.4,24.5,102.6,San Antonio Spurs_1991,1991
