,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
14,Utah Jazz,54,28,.659,1.0,104.0,100.7,3.18,3.0,82,241.2,39.2,85.5,0.459,2.5,8.1,0.307,36.7,77.4,0.475,19.7,25.5,0.773,13.4,27.8,41.2,22.7,8.4,5.0,15.3,24.3,100.7,Utah Jazz_1991,1991
15,Houston Rockets,52,30,.634,3.0,106.7,103.2,3.27,6.0,82,242.1,40.7,89.2,0.456,2.2,7.6,0.295,38.5,81.6,0.471,19.6,25.4,0.771,15.1,29.6,44.8,24.0,8.7,4.4,17.3,21.8,103.2,Houston Rockets_1991,1991
16,Orlando Magic,31,51,.378,24.0,105.9,109.9,-3.79,24.0,82,241.2,42.1,88.2,0.478,2.7,8.2,0.331,39.4,80.0,0.493,22.9,29.9,0.767,13.4,30.5,43.8,25.8,8.6,8.0,14.8,24.2,109.9,Orlando Magic_1991,1991
17,Minnesota Timberwolves,29,53,.354,26.0,99.6,103.5,-3.75,9.0,82,242.7,40.5,82.7,0.49,2.1,6.2,0.339,38.4,76.5,0.502,20.5,27.1,0.757,13.3,29.0,42.4,26.1,6.2,6.2,15.1,20.6,103.5,Minnesota Timberwolves_1991,1991
18,Dallas Mavericks,28,54,.341,27.0,99.9,104.5,-4.27,12.0,82,241.5,40.8,84.7,0.482,2.2,7.1,0.305,38.6,77.6,0.498,20.7,28.0,0.74,13.6,30.4,44.0,24.7,7.9,4.9,14.0,21.7,104.5,Dallas Mavericks_1991,1991
19,Denver Nuggets,20,62,.244,35.0,119.9,130.8,-10.31,27.0,82,240.6,49.7,97.1,0.512,2.4,6.1,0.386,47.3,91.0,0.52,29.0,37.4,0.775,15.1,37.4,52.5,30.4,9.2,6.4,18.6,22.5,130.8,Denver Nuggets_1991,1991
20,Portland Trail Blazers,63,19,.768,—,114.7,106.0,8.47,16.0,82,242.7,40.5,88.7,0.456,2.9,8.9,0.323,37.6,79.8,0.471,22.2,28.5,0.777,13.2,28.7,41.9,25.0,7.7,4.3,17.0,25.3,106.0,Portland Trail Blazers_1991,1991
21,Los Angeles Lakers,58,24,.707,5.0,106.3,99.6,6.73,2.0,82,241.8,40.9,88.6,0.462,2.2,7.0,0.311,38.7,81.6,0.475,15.6,20.7,0.752,13.8,26.7,40.5,24.4,8.1,4.1,14.3,22.2,99.6,Los Angeles Lakers_1991,1991
22,Phoenix Suns,55,27,.671,8.0,114.0,107.5,6.49,20.0,82,240.6,42.2,91.5,0.462,2.2,7.1,0.312,40.0,84.3,0.474,20.8,27.4,0.76,14.6,28.0,42.6,24.0,8.3,5.6,15.6,25.1,107.5,Phoenix Suns_1991,1991
23,Golden State Warriors,44,38,.537,19.0,116.6,115.0,1.72,26.0,82,241.5,43.2,89.6,0.482,2.7,8.4,0.322,40.5,81.3,0.499,25.9,34.1,0.758,15.8,30.2,46.0,26.4,8.9,5.3,18.7,26.9,115.0,Golden State Warriors_1991,1991
24,Seattle SuperSonics,41,41,.500,22.0,106.6,105.4,1.31,13.0,82,242.4,40.1,82.2,0.488,2.5,7.7,0.327,37.5,74.5,0.504,22.8,30.0,0.759,13.5,26.2,39.7,22.6,8.9,5.4,18.1,22.2,105.4,Seattle SuperSonics_1991,1991
25,Los Angeles Clippers,31,51,.378,32.0,103.5,107.0,-3.16,18.0,82,241.5,40.7,87.2,0.467,2.4,7.2,0.336,38.3,80.0,0.478,23.2,30.8,0.752,13.6,30.4,44.0,24.2,9.4,6.0,16.0,23.0,107.0,Los Angeles Clippers_1991,1991
26,Sacramento Kings,25,57,.305,38.0,96.7,103.5,-6.27,8.0,82,240.3,38.3,81.5,0.47,1.9,6.0,0.316,36.4,75.6,0.482,24.9,32.8,0.761,14.2,31.0,45.2,23.3,8.5,5.5,16.0,22.5,103.5,Sacramento Kings_1991,1991
