,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Philadelphia 76ers,49,23,0.681,—,113.6,108.1,5.28,14.0,72,242.1,41.4,86.9,0.476,11.3,30.1,0.374,30.1,56.8,0.531,19.6,25.5,0.767,10.0,35.0,45.1,23.7,9.1,6.2,14.4,20.2,113.6,Philadelphia 76ers_2021,2021
1,Brooklyn Nets,48,24,0.667,1.0,118.6,114.1,4.24,2.0,72,241.7,43.1,87.3,0.494,14.2,36.1,0.392,29.0,51.2,0.565,18.1,22.5,0.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,118.6,Brooklyn Nets_2021,2021
2,Milwaukee Bucks,46,26,0.639,3.0,120.1,114.2,5.57,1.0,72,240.7,44.7,91.8,0.487,14.4,37.1,0.389,30.3,54.7,0.554,16.2,21.4,0.76,10.3,37.8,48.1,25.5,8.1,4.6,13.8,17.3,120.1,Milwaukee Bucks_2021,2021
3,New York Knicks,41,31,0.569,8.0,107.0,104.7,2.13,26.0,72,242.1,39.4,86.5,0.456,11.8,30.0,0.392,27.7,56.4,0.49,16.4,20.9,0.784,9.7,35.5,45.1,21.4,7.0,5.1,12.9,20.5,107.0,New York Knicks_2021,2021
4,Atlanta Hawks,41,31,0.569,8.0,113.7,111.4,2.14,11.0,72,241.7,40.8,87.2,0.468,12.4,33.4,0.373,28.4,53.9,0.526,19.7,24.2,0.812,10.6,35.1,45.6,24.1,7.0,4.8,13.2,19.3,113.7,Atlanta Hawks_2021,2021
5,Miami Heat,40,32,0.556,9.0,108.1,108.0,-0.06,25.0,72,241.4,39.2,83.7,0.468,12.9,36.2,0.358,26.3,47.5,0.553,16.7,21.1,0.79,8.0,33.5,41.5,26.3,7.9,4.0,14.1,18.9,108.1,Miami Heat_2021,2021
6,Boston Celtics,36,36,0.5,13.0,112.6,111.2,1.32,16.0,72,241.4,41.5,88.9,0.466,13.6,36.4,0.374,27.9,52.5,0.53,16.1,20.8,0.775,10.6,33.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6,Boston Celtics_2021,2021
7,Washington Wizards,34,38,0.472,15.0,116.6,118.5,-1.85,3.0,72,241.7,43.2,90.9,0.475,10.2,29.0,0.351,33.0,61.9,0.533,20.1,26.2,0.769,9.7,35.5,45.2,25.5,7.3,4.1,14.4,21.6,116.6,Washington Wizards_2021,2021
8,Indiana Pacers,34,38,0.472,15.0,115.3,115.3,-0.13,7.0,72,242.4,43.3,91.2,0.474,12.3,34.0,0.364,30.9,57.3,0.54,16.4,20.7,0.792,9.0,33.7,42.7,27.4,8.5,6.4,13.5,20.2,115.3,Indiana Pacers_2021,2021
9,Charlotte Hornets,33,39,0.458,16.0,109.5,111.4,-1.94,23.0,72,241.0,39.9,87.8,0.455,13.7,37.0,0.369,26.3,50.8,0.517,15.9,20.9,0.761,10.6,33.2,43.8,26.8,7.8,4.8,14.8,18.0,109.5,Charlotte Hornets_2021,2021
10,Chicago Bulls,31,41,0.431,18.0,110.7,111.6,-0.94,21.0,72,241.4,42.2,88.6,0.476,12.6,34.0,0.37,29.6,54.6,0.542,13.8,17.5,0.791,9.6,35.3,45.0,26.8,6.7,4.2,15.1,18.9,110.7,Chicago Bulls_2021,2021
11,Toronto Raptors,27,45,0.375,22.0,111.3,111.7,-0.54,19.0,72,240.3,39.7,88.7,0.448,14.5,39.3,0.368,25.3,49.3,0.512,17.4,21.3,0.815,9.4,32.1,41.6,24.1,8.6,5.4,13.2,21.2,111.3,Toronto Raptors_2021,2021
12,Cleveland Cavaliers,22,50,0.306,27.0,103.8,112.3,-8.19,30.0,72,242.1,38.6,85.8,0.45,10.0,29.7,0.336,28.6,56.0,0.51,16.7,22.4,0.743,10.4,32.3,42.8,23.8,7.8,4.5,15.5,18.2,103.8,Cleveland Cavaliers_2021,2021
13,Orlando Magic,21,51,0.292,28.0,104.0,113.3,-9.02,29.0,72,240.7,38.3,89.2,0.429,10.9,31.8,0.343,27.4,57.4,0.476,16.6,21.4,0.775,10.4,35.1,45.4,21.8,6.9,4.4,12.8,17.2,104.0,Orlando Magic_2021,2021
14,Detroit Pistons,20,52,0.278,29.0,106.6,111.1,-4.38,27.0,72,242.1,38.7,85.6,0.452,11.6,32.9,0.351,27.1,52.7,0.515,17.8,23.4,0.759,9.6,33.1,42.7,24.2,7.4,5.2,14.9,20.5,106.6,Detroit Pistons_2021,2021
15,Utah Jazz,52,20,0.722,—,116.4,107.2,8.97,4.0,72,241.0,41.3,88.1,0.468,16.7,43.0,0.389,24.5,45.1,0.544,17.2,21.5,0.799,10.6,37.6,48.3,23.7,6.6,5.2,14.2,18.5,116.4,Utah Jazz_2021,2021
16,Phoenix Suns,51,21,0.708,1.0,115.3,109.5,5.67,6.0,72,242.8,43.3,88.3,0.49,13.1,34.6,0.378,30.3,53.7,0.563,15.6,18.7,0.834,8.8,34.2,42.9,26.9,7.2,4.3,12.5,19.1,115.3,Phoenix Suns_2021,2021
17,Denver Nuggets,47,25,0.653,5.0,115.1,110.1,4.82,8.0,72,242.8,43.3,89.2,0.485,12.9,34.2,0.377,30.4,55.0,0.552,15.7,19.5,0.803,10.5,33.9,44.4,26.8,8.1,4.5,13.5,19.1,115.1,Denver Nuggets_2021,2021
18,Los Angeles Clippers,47,25,0.653,5.0,114.0,107.8,6.02,10.0,72,240.0,41.8,86.7,0.482,14.3,34.7,0.411,27.5,52.0,0.529,16.2,19.3,0.839,9.4,34.7,44.2,24.4,7.1,4.1,13.2,19.2,114.0,Los Angeles Clippers_2021,2021
19,Dallas Mavericks,42,30,0.583,10.0,112.4,110.2,2.26,17.0,72,240.3,41.1,87.3,0.47,13.8,38.1,0.362,27.3,49.2,0.554,16.5,21.2,0.778,9.1,34.2,43.3,22.9,6.3,4.3,12.1,19.4,112.4,Dallas Mavericks_2021,2021
20,Portland Trail Blazers,42,30,0.583,10.0,116.1,114.3,1.81,5.0,72,240.3,41.3,91.1,0.453,15.7,40.8,0.385,25.6,50.3,0.509,17.8,21.6,0.823,10.6,33.9,44.5,21.3,6.9,5.0,11.1,18.9,116.1,Portland Trail Blazers_2021,2021
21,Los Angeles Lakers,42,30,0.583,10.0,109.5,106.8,2.77,22.0,72,242.4,40.6,86.1,0.472,11.1,31.2,0.354,29.6,54.8,0.539,17.2,23.3,0.739,9.7,34.6,44.2,24.7,7.8,5.4,15.2,19.1,109.5,Los Angeles Lakers_2021,2021
22,Golden State Warriors,39,33,0.542,13.0,113.7,112.7,1.1,13.0,72,240.3,41.3,88.2,0.468,14.6,38.7,0.376,26.7,49.4,0.541,16.6,21.1,0.785,8.0,35.1,43.0,27.7,8.2,4.8,15.0,21.2,113.7,Golden State Warriors_2021,2021
23,Memphis Grizzlies,38,34,0.528,14.0,113.3,112.3,1.07,15.0,72,241.7,42.8,91.8,0.467,11.2,31.4,0.356,31.7,60.4,0.525,16.4,21.3,0.771,11.2,35.3,46.5,26.9,9.1,5.1,13.3,18.7,113.3,Memphis Grizzlies_2021,2021
24,San Antonio Spurs,33,39,0.458,19.0,111.1,112.8,-1.58,20.0,72,242.8,41.9,90.5,0.462,9.9,28.4,0.35,31.9,62.1,0.514,17.4,22.0,0.792,9.3,34.6,43.9,24.4,7.0,5.1,11.4,18.0,111.1,San Antonio Spurs_2021,2021
25,New Orleans Pelicans,31,41,0.431,21.0,114.6,114.9,-0.2,9.0,72,242.1,42.5,89.1,0.477,10.6,30.4,0.348,31.9,58.6,0.544,19.0,26.1,0.729,11.7,35.7,47.4,26.0,7.6,4.4,14.6,18.0,114.6,New Orleans Pelicans_2021,2021
26,Sacramento Kings,31,41,0.431,21.0,113.7,117.4,-3.45,12.0,72,240.3,42.6,88.6,0.481,12.1,33.3,0.364,30.5,55.3,0.551,16.4,22.0,0.745,9.4,32.0,41.4,25.5,7.5,5.0,13.4,19.4,113.7,Sacramento Kings_2021,2021
27,Minnesota Timberwolves,23,49,0.319,29.0,112.1,117.7,-5.25,18.0,72,241.7,40.7,90.9,0.448,13.1,37.6,0.349,27.6,53.3,0.518,17.6,23.1,0.761,10.5,33.0,43.5,25.6,8.8,5.5,14.3,20.9,112.1,Minnesota Timberwolves_2021,2021
28,Oklahoma City Thunder,22,50,0.306,30.0,105.0,115.6,-10.13,28.0,72,241.0,38.8,88.0,0.441,11.9,35.1,0.339,26.9,52.9,0.509,15.5,21.3,0.725,9.9,35.7,45.6,22.1,7.0,4.4,16.1,18.1,105.0,Oklahoma City Thunder_2021,2021
29,Houston Rockets,17,55,0.236,35.0,108.8,116.7,-7.5,24.0,72,240.3,39.3,88.5,0.444,13.8,40.6,0.339,25.5,47.9,0.532,16.5,22.3,0.74,9.3,33.3,42.6,23.6,7.6,5.0,14.7,19.5,108.8,Houston Rockets_2021,2021
