,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Boston Celtics,63,19,.768,—,112.0,105.6,6.35,8.0,82,241.2,42.6,90.6,0.47,0.5,2.5,0.192,42.1,88.1,0.478,20.0,26.5,0.754,14.5,27.4,42.0,24.0,8.3,4.5,17.5,27.3,105.6,Boston Celtics_1982,1982
1,Philadelphia 76ers,58,24,.707,5.0,111.2,105.5,5.74,7.0,82,242.1,41.1,86.4,0.476,0.7,2.6,0.259,40.4,83.8,0.483,22.6,30.4,0.742,15.7,28.6,44.3,24.0,8.6,5.7,19.7,27.0,105.5,Philadelphia 76ers_1982,1982
2,New Jersey Nets,44,38,.537,19.0,106.7,106.0,0.87,10.0,82,241.2,40.8,84.6,0.482,0.7,2.3,0.31,40.1,82.3,0.487,23.7,31.7,0.749,13.9,28.6,42.5,23.5,10.1,6.6,22.1,26.4,106.0,New Jersey Nets_1982,1982
3,Washington Bullets,43,39,.524,20.0,103.5,102.6,1.06,2.0,82,241.8,41.0,88.2,0.465,0.5,2.2,0.24,40.5,85.9,0.471,20.1,27.3,0.735,13.5,30.7,44.2,23.0,7.6,6.6,16.2,23.3,102.6,Washington Bullets_1982,1982
4,New York Knicks,33,49,.402,30.0,106.2,108.9,-2.15,12.0,82,241.8,43.2,85.6,0.505,0.6,2.0,0.304,42.6,83.5,0.509,21.9,28.9,0.757,13.7,28.9,42.6,25.5,8.6,4.4,17.8,24.6,108.9,New York Knicks_1982,1982
5,Milwaukee Bucks,55,27,.671,—,108.4,102.9,5.38,4.0,82,241.5,40.2,86.2,0.467,0.7,2.7,0.254,39.5,83.4,0.474,21.8,30.1,0.725,14.3,26.3,40.6,24.6,8.8,4.3,18.8,26.7,102.9,Milwaukee Bucks_1982,1982
6,Atlanta Hawks,42,40,.512,13.0,101.0,100.5,0.81,1.0,82,242.4,38.4,81.8,0.47,0.6,2.3,0.247,37.9,79.5,0.476,23.1,30.3,0.762,13.8,29.1,43.0,22.8,7.0,5.3,17.6,26.6,100.5,Atlanta Hawks_1982,1982
7,Detroit Pistons,39,43,.476,16.0,111.1,112.0,-0.63,20.0,82,241.8,45.7,89.8,0.509,0.5,2.1,0.234,45.2,87.6,0.516,20.1,27.0,0.745,14.1,29.7,43.8,26.7,9.5,7.1,20.0,29.1,112.0,Detroit Pistons_1982,1982
8,Indiana Pacers,35,47,.427,20.0,102.2,104.0,-1.49,6.0,82,241.8,42.3,86.1,0.491,0.4,2.2,0.186,41.9,83.9,0.499,19.0,26.0,0.73,14.7,31.7,46.4,25.0,8.3,4.8,18.5,24.6,104.0,Indiana Pacers_1982,1982
9,Chicago Bulls,34,48,.415,21.0,106.6,108.6,-1.57,11.0,82,242.4,44.6,90.1,0.495,0.7,2.4,0.299,43.9,87.7,0.501,18.7,25.0,0.747,13.8,27.1,41.0,24.9,9.8,5.7,15.3,27.1,108.6,Chicago Bulls_1982,1982
10,Cleveland Cavaliers,15,67,.183,40.0,103.2,111.7,-7.77,19.0,82,241.5,44.0,85.9,0.512,0.5,1.6,0.298,43.5,84.3,0.516,23.2,30.8,0.754,13.7,30.8,44.6,26.5,8.0,5.9,17.1,25.3,111.7,Cleveland Cavaliers_1982,1982
11,San Antonio Spurs,48,34,.585,—,113.1,110.8,1.79,18.0,82,240.9,43.5,90.1,0.483,0.7,2.4,0.291,42.8,87.6,0.488,23.1,30.5,0.758,14.0,29.7,43.7,24.8,7.5,5.2,16.5,26.6,110.8,San Antonio Spurs_1982,1982
12,Denver Nuggets,46,36,.561,2.0,126.5,126.0,0.13,23.0,82,241.8,52.0,99.3,0.524,0.8,2.8,0.282,51.2,96.5,0.531,21.1,28.7,0.737,16.6,30.0,46.5,30.7,9.1,6.9,18.0,29.9,126.0,Denver Nuggets_1982,1982
13,Houston Rockets,46,36,.561,2.0,105.9,105.9,-0.39,9.0,82,241.2,43.5,87.6,0.497,0.6,2.5,0.238,42.9,85.1,0.504,18.3,24.5,0.747,14.3,28.1,42.4,26.0,8.3,4.3,16.4,25.0,105.9,Houston Rockets_1982,1982
14,Kansas City Kings,30,52,.366,18.0,107.1,110.2,-3.25,17.0,82,242.4,42.6,85.2,0.5,0.6,1.9,0.304,42.0,83.2,0.505,24.5,32.4,0.756,14.3,31.1,45.4,22.6,8.6,5.5,19.6,26.0,110.2,Kansas City Kings_1982,1982
15,Dallas Mavericks,28,54,.341,20.0,104.6,109.0,-4.48,13.0,82,240.6,43.0,84.8,0.508,0.4,1.7,0.225,42.7,83.1,0.513,22.5,30.4,0.741,13.5,28.8,42.3,24.2,7.8,6.2,16.7,27.4,109.0,Dallas Mavericks_1982,1982
16,Utah Jazz,25,57,.305,23.0,110.9,116.6,-5.63,22.0,82,241.2,46.8,91.8,0.509,0.6,2.4,0.255,46.1,89.4,0.516,22.4,30.1,0.745,15.3,31.7,47.0,26.2,8.1,5.1,17.2,25.0,116.6,Utah Jazz_1982,1982
17,Los Angeles Lakers,57,25,.695,—,114.6,109.8,4.37,16.0,82,242.1,45.7,93.6,0.488,1.0,2.6,0.366,44.7,91.0,0.491,17.5,24.5,0.714,15.5,27.5,43.0,28.3,8.8,5.3,18.1,24.4,109.8,Los Angeles Lakers_1982,1982
18,Seattle SuperSonics,52,30,.634,5.0,107.3,103.1,3.69,5.0,82,241.8,41.6,90.3,0.461,0.6,2.5,0.239,41.0,87.9,0.467,19.3,26.6,0.727,15.1,29.5,44.6,24.3,8.0,3.8,17.1,26.2,103.1,Seattle SuperSonics_1982,1982
