,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Boston Celtics,51,31,.622,—,106.6,103.0,3.41,8.0,82,241.2,40.5,88.9,0.456,2.5,8.0,0.308,38.1,81.0,0.47,19.5,25.4,0.768,14.4,28.5,42.8,23.5,8.3,5.0,13.6,19.9,103.0,Boston Celtics_1992,1992
1,New York Knicks,51,31,.622,—,101.6,97.7,3.67,2.0,82,242.1,37.6,82.0,0.458,2.2,7.4,0.295,35.4,74.6,0.474,20.3,26.5,0.767,12.4,27.3,39.7,21.7,8.2,4.8,15.2,22.0,97.7,New York Knicks_1992,1992
2,New Jersey Nets,40,42,.488,11.0,105.4,107.1,-1.54,18.0,82,241.2,41.7,87.5,0.477,2.0,6.2,0.317,39.8,81.3,0.489,21.6,28.3,0.766,14.8,28.7,43.5,21.8,9.8,5.9,16.4,21.0,107.1,New Jersey Nets_1992,1992
3,Miami Heat,38,44,.463,13.0,105.0,109.2,-3.94,23.0,82,241.8,43.0,87.3,0.493,2.6,7.4,0.347,40.5,79.9,0.507,20.5,27.3,0.752,13.8,29.5,43.3,25.2,8.9,5.5,16.0,24.0,109.2,Miami Heat_1992,1992
4,Philadelphia 76ers,35,47,.427,16.0,101.9,103.2,-1.34,9.0,82,240.9,42.1,87.1,0.483,2.3,7.5,0.307,39.8,79.6,0.499,16.8,21.6,0.776,14.3,28.8,43.1,27.1,8.4,5.5,14.4,21.5,103.2,Philadelphia 76ers_1992,1992
5,Washington Bullets,25,57,.305,26.0,102.4,106.8,-4.35,17.0,82,242.1,41.8,87.5,0.478,2.6,7.3,0.353,39.3,80.2,0.49,20.6,27.3,0.753,14.6,32.1,46.7,23.2,8.7,5.5,16.2,20.6,106.8,Washington Bullets_1992,1992
6,Orlando Magic,21,61,.256,30.0,101.6,108.5,-6.52,22.0,82,240.3,41.8,85.9,0.486,2.6,7.4,0.353,39.2,78.5,0.499,22.3,29.7,0.751,13.5,29.8,43.3,25.5,9.6,6.5,15.5,23.1,108.5,Orlando Magic_1992,1992
7,Chicago Bulls,67,15,.817,—,109.9,99.5,10.07,3.0,82,241.8,39.1,85.0,0.46,2.7,8.0,0.332,36.4,77.0,0.473,18.6,24.2,0.768,13.2,26.5,39.7,22.5,7.7,4.3,15.7,22.0,99.5,Chicago Bulls_1992,1992
8,Cleveland Cavaliers,57,25,.695,10.0,108.9,103.4,5.34,10.0,82,241.5,42.6,90.7,0.47,2.4,7.1,0.332,40.3,83.6,0.482,15.8,20.5,0.769,15.1,29.0,44.0,26.3,7.9,5.1,14.0,22.9,103.4,Cleveland Cavaliers_1992,1992
9,Detroit Pistons,48,34,.585,19.0,98.9,96.9,2.06,1.0,82,241.2,38.5,85.0,0.453,2.6,7.6,0.338,35.9,77.4,0.464,17.3,22.8,0.762,13.6,27.5,41.1,23.1,7.8,4.5,13.6,23.4,96.9,Detroit Pistons_1992,1992
10,Indiana Pacers,40,42,.488,27.0,112.2,110.3,1.85,24.0,82,243.4,41.8,89.2,0.468,2.6,7.8,0.338,39.1,81.4,0.481,24.1,32.0,0.752,15.1,28.4,43.5,26.4,10.0,4.7,15.2,24.2,110.3,Indiana Pacers_1992,1992
11,Atlanta Hawks,38,44,.463,29.0,106.2,107.7,-1.15,21.0,82,242.7,43.0,89.5,0.48,3.1,8.9,0.343,39.9,80.6,0.495,18.7,24.5,0.766,14.1,31.0,45.2,26.4,8.7,4.8,15.3,21.1,107.7,Atlanta Hawks_1992,1992
12,Milwaukee Bucks,31,51,.378,36.0,105.0,106.7,-1.46,16.0,82,242.4,42.0,84.3,0.498,2.7,7.4,0.367,39.3,76.9,0.511,20.0,26.8,0.746,14.3,28.3,42.5,25.8,8.9,5.8,17.3,21.7,106.7,Milwaukee Bucks_1992,1992
13,Charlotte Hornets,31,51,.378,36.0,109.5,113.4,-3.57,26.0,82,241.5,45.3,91.4,0.496,2.5,7.7,0.324,42.8,83.7,0.512,20.3,27.3,0.741,15.3,31.5,46.8,28.9,7.6,6.4,17.0,21.3,113.4,Charlotte Hornets_1992,1992
14,Utah Jazz,55,27,.671,—,108.3,101.9,5.70,6.0,82,242.4,40.1,87.5,0.459,2.9,8.5,0.337,37.3,79.1,0.472,18.7,25.1,0.747,14.0,27.5,41.5,23.5,7.9,5.6,14.7,23.9,101.9,Utah Jazz_1992,1992
15,San Antonio Spurs,47,35,.573,8.0,104.0,100.6,2.81,4.0,82,241.2,39.2,86.6,0.452,3.0,8.5,0.347,36.2,78.0,0.464,19.4,25.1,0.77,13.5,28.8,42.3,23.0,9.2,5.6,15.3,22.1,100.6,San Antonio Spurs_1992,1992
16,Houston Rockets,42,40,.512,13.0,102.0,103.7,-1.94,11.0,82,242.4,41.4,89.2,0.463,2.4,7.0,0.341,39.0,82.2,0.474,18.6,24.2,0.77,15.0,29.3,44.4,26.0,9.1,4.7,14.3,20.4,103.7,Houston Rockets_1992,1992
17,Denver Nuggets,24,58,.293,31.0,99.7,107.6,-7.59,20.0,82,241.2,40.8,85.0,0.48,2.3,6.5,0.35,38.5,78.5,0.491,23.7,30.6,0.773,13.5,30.9,44.4,22.1,9.5,7.2,17.0,21.8,107.6,Denver Nuggets_1992,1992
18,Dallas Mavericks,22,60,.268,33.0,97.6,105.3,-7.47,14.0,82,240.9,40.4,86.0,0.47,2.2,7.3,0.306,38.2,78.7,0.485,22.2,28.9,0.77,14.1,32.1,46.2,23.6,8.8,5.6,12.9,21.2,105.3,Dallas Mavericks_1992,1992
19,Minnesota Timberwolves,15,67,.183,40.0,100.5,107.5,-6.85,19.0,82,241.5,42.1,86.8,0.485,2.1,5.9,0.354,40.0,80.9,0.495,21.2,28.5,0.744,16.0,30.9,46.9,25.5,8.0,7.0,14.8,20.4,107.5,Minnesota Timberwolves_1992,1992
