,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Miami Heat,33,17,.660,—,89.0,84.0,5.11,2.0,50,240.5,31.3,76.1,0.411,4.2,12.1,0.348,27.1,64.0,0.423,17.2,23.3,0.737,12.4,26.8,39.2,17.1,7.7,3.8,13.5,22.0,84.0,Miami Heat_1999,1999
1,Orlando Magic,33,17,.660,—,89.5,86.9,3.11,6.0,50,241.0,34.2,77.1,0.443,4.6,13.3,0.345,29.6,63.8,0.463,13.9,19.7,0.707,11.9,28.5,40.4,20.8,9.4,4.8,17.3,22.2,86.9,Orlando Magic_1999,1999
2,Philadelphia 76ers,28,22,.560,5.0,89.7,87.6,2.56,8.0,50,243.0,32.0,75.7,0.423,4.8,14.3,0.337,27.2,61.4,0.443,18.8,25.8,0.731,12.4,28.0,40.4,20.0,8.7,5.3,17.9,23.7,87.6,Philadelphia 76ers_1999,1999
3,New York Knicks,27,23,.540,6.0,86.4,85.4,1.45,4.0,50,242.0,30.6,75.8,0.403,4.7,13.2,0.353,25.9,62.6,0.414,19.6,26.7,0.733,12.3,28.5,40.8,18.5,8.5,4.3,15.3,20.7,85.4,New York Knicks_1999,1999
4,Boston Celtics,19,31,.380,14.0,93.0,94.9,-1.75,22.0,50,243.0,34.5,77.9,0.443,3.5,11.2,0.312,31.0,66.7,0.465,22.4,30.1,0.742,12.8,30.9,43.7,20.4,9.2,5.1,16.8,20.0,94.9,Boston Celtics_1999,1999
5,Washington Wizards,18,32,.360,15.0,91.2,93.4,-1.75,20.0,50,241.0,34.1,76.5,0.446,4.4,12.4,0.352,29.7,64.1,0.464,20.9,28.4,0.736,12.3,30.3,42.7,21.6,8.0,4.2,15.8,21.7,93.4,Washington Wizards_1999,1999
6,New Jersey Nets,16,34,.320,17.0,91.4,95.2,-3.20,23.0,50,241.0,35.9,79.4,0.453,4.5,13.1,0.341,31.5,66.3,0.475,18.9,26.0,0.727,12.5,31.6,44.1,19.4,7.9,6.5,16.3,21.7,95.2,New Jersey Nets_1999,1999
7,Indiana Pacers,33,17,.660,—,94.7,90.9,3.86,13.0,50,242.0,34.1,78.7,0.434,4.1,12.7,0.325,30.0,66.0,0.454,18.6,24.5,0.756,12.5,28.5,41.0,19.1,7.1,4.8,13.0,22.5,90.9,Indiana Pacers_1999,1999
8,Atlanta Hawks,31,19,.620,2.0,86.3,83.4,2.82,1.0,50,241.5,32.0,77.5,0.413,3.8,12.7,0.3,28.2,64.8,0.435,15.7,21.5,0.729,11.6,27.4,39.0,17.9,7.6,4.9,13.5,24.0,83.4,Atlanta Hawks_1999,1999
9,Detroit Pistons,29,21,.580,4.0,90.4,86.9,3.97,7.0,50,241.0,31.7,72.8,0.436,4.7,13.6,0.346,27.0,59.1,0.456,18.8,26.3,0.715,11.0,27.5,38.5,20.9,8.5,4.5,15.4,22.3,86.9,Detroit Pistons_1999,1999
10,Milwaukee Bucks,28,22,.560,5.0,91.7,90.0,1.66,11.0,50,241.0,32.0,74.9,0.427,5.4,16.3,0.334,26.6,58.6,0.453,20.6,27.4,0.752,13.1,28.0,41.1,20.4,8.0,3.9,16.6,20.4,90.0,Milwaukee Bucks_1999,1999
11,Charlotte Hornets,26,24,.520,7.0,92.9,93.0,0.63,18.0,50,243.0,34.8,80.1,0.434,4.2,12.7,0.333,30.5,67.3,0.454,19.2,26.1,0.734,13.1,29.8,42.9,21.8,8.9,4.6,15.2,23.0,93.0,Charlotte Hornets_1999,1999
12,Toronto Raptors,23,27,.460,10.0,91.1,92.8,-1.32,17.0,50,241.5,33.9,77.1,0.439,5.1,13.7,0.372,28.8,63.4,0.454,19.9,27.4,0.728,12.3,27.9,40.1,21.9,8.9,5.2,15.5,21.8,92.8,Toronto Raptors_1999,1999
13,Cleveland Cavaliers,22,28,.440,11.0,86.4,88.2,-0.94,9.0,50,241.0,31.9,73.3,0.436,4.7,13.5,0.35,27.2,59.8,0.455,19.6,26.3,0.743,11.8,28.1,39.9,21.1,7.8,5.6,16.4,24.0,88.2,Cleveland Cavaliers_1999,1999
14,Chicago Bulls,13,37,.260,20.0,81.9,91.4,-8.58,14.0,50,241.5,34.5,75.7,0.455,4.2,12.2,0.34,30.3,63.5,0.477,18.3,24.9,0.733,11.0,31.4,42.4,22.0,8.9,5.7,15.6,21.5,91.4,Chicago Bulls_1999,1999
15,San Antonio Spurs,37,13,.740,—,92.8,84.7,7.12,3.0,50,241.5,32.6,81.2,0.402,3.4,11.2,0.304,29.2,70.0,0.417,16.1,23.0,0.701,13.9,28.1,42.1,18.8,8.7,4.9,14.6,23.0,84.7,San Antonio Spurs_1999,1999
16,Utah Jazz,37,13,.740,—,93.3,86.8,5.54,5.0,50,243.5,31.9,77.3,0.413,4.3,13.3,0.321,27.6,63.9,0.432,18.7,26.0,0.721,12.7,25.9,38.6,18.1,8.6,5.3,14.9,26.2,86.8,Utah Jazz_1999,1999
17,Houston Rockets,31,19,.620,6.0,94.2,91.9,1.39,15.0,50,241.5,35.9,82.7,0.434,4.6,12.9,0.357,31.3,69.8,0.448,15.6,21.2,0.734,13.3,27.8,41.1,20.7,8.8,4.9,13.1,20.6,91.9,Houston Rockets_1999,1999
18,Minnesota Timberwolves,25,25,.500,12.0,92.9,92.6,-0.17,16.0,50,240.5,33.6,76.5,0.439,4.3,13.1,0.326,29.3,63.4,0.463,21.1,29.4,0.718,11.8,31.3,43.1,22.3,7.3,5.2,16.7,20.3,92.6,Minnesota Timberwolves_1999,1999
19,Dallas Mavericks,19,31,.380,18.0,91.6,94.0,-2.50,21.0,50,241.5,36.3,80.7,0.45,4.3,13.7,0.315,32.0,67.0,0.477,17.1,23.9,0.717,13.2,30.4,43.6,21.5,7.2,4.9,14.0,20.8,94.0,Dallas Mavericks_1999,1999
20,Denver Nuggets,14,36,.280,23.0,93.5,100.1,-6.67,28.0,50,240.5,37.7,80.3,0.469,4.7,12.8,0.37,33.0,67.5,0.488,19.9,26.8,0.745,12.4,30.0,42.4,23.5,7.9,5.5,14.0,22.1,100.1,Denver Nuggets_1999,1999
21,Vancouver Grizzlies,8,42,.160,29.0,88.9,97.5,-8.94,26.0,50,243.5,36.3,78.3,0.463,4.6,13.1,0.351,31.7,65.3,0.485,20.4,28.0,0.729,13.5,29.1,42.6,23.8,9.8,6.6,15.6,23.3,97.5,Vancouver Grizzlies_1999,1999
22,Portland Trail Blazers,35,15,.700,—,94.8,88.5,5.67,10.0,50,243.5,32.9,78.8,0.417,4.4,13.8,0.318,28.5,65.0,0.438,18.3,25.3,0.725,12.3,27.8,40.1,19.2,8.2,4.9,15.7,22.8,88.5,Portland Trail Blazers_1999,1999
23,Los Angeles Lakers,31,19,.620,4.0,99.0,96.0,2.68,25.0,50,241.0,35.2,79.8,0.441,4.3,13.1,0.332,30.8,66.8,0.462,21.3,30.0,0.709,12.6,28.1,40.6,21.2,8.2,3.9,14.3,25.4,96.0,Los Angeles Lakers_1999,1999
24,Phoenix Suns,27,23,.540,8.0,95.6,93.3,2.15,19.0,50,241.0,35.4,78.7,0.45,5.4,15.1,0.36,30.0,63.6,0.472,17.0,24.5,0.694,12.3,30.1,42.4,21.3,8.2,4.1,16.2,21.3,93.3,Phoenix Suns_1999,1999
25,Sacramento Kings,27,23,.540,8.0,100.2,100.6,-0.89,29.0,50,244.0,40.2,90.0,0.446,4.4,13.0,0.336,35.8,77.0,0.465,15.9,22.3,0.712,15.0,32.0,47.0,23.3,9.8,4.4,15.8,22.0,100.6,Sacramento Kings_1999,1999
26,Seattle SuperSonics,25,25,.500,10.0,94.9,95.9,-1.43,24.0,50,242.0,36.8,80.5,0.457,5.3,15.3,0.345,31.5,65.2,0.483,17.1,23.7,0.722,13.0,28.9,42.0,22.2,8.0,4.5,14.9,23.3,95.9,Seattle SuperSonics_1999,1999
27,Golden State Warriors,21,29,.420,14.0,88.3,90.8,-2.63,12.0,50,242.5,32.3,77.0,0.42,3.9,11.5,0.336,28.5,65.5,0.435,22.3,30.6,0.728,13.1,30.1,43.2,20.5,8.0,6.1,14.7,20.5,90.8,Golden State Warriors_1999,1999
28,Los Angeles Clippers,9,41,.180,26.0,90.4,99.2,-8.94,27.0,50,242.5,36.6,77.2,0.474,4.4,12.5,0.354,32.2,64.6,0.498,21.6,28.9,0.746,12.8,30.1,42.9,22.0,8.4,5.8,15.6,20.8,99.2,Los Angeles Clippers_1999,1999
