,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,New York Knicks,54,28,.659,—,100.0,95.7,3.73,7.0,82,240.6,35.6,77.6,0.458,7.8,21.8,0.357,27.8,55.8,0.498,16.8,22.2,0.757,10.0,31.6,41.6,19.3,6.4,4.0,15.1,19.2,95.7,New York Knicks_2013,2013
1,Brooklyn Nets,49,33,.598,5.0,96.9,95.1,1.25,6.0,82,242.1,37.4,80.7,0.464,6.3,17.3,0.366,31.1,63.4,0.49,14.0,19.2,0.731,10.7,28.5,39.2,21.4,7.5,4.8,13.4,21.4,95.1,Brooklyn Nets_2013,2013
2,Boston Celtics,41,40,.506,12.5,96.5,96.7,-0.62,12.0,81,244.9,36.1,82.0,0.441,6.8,19.9,0.342,29.3,62.1,0.472,17.7,23.9,0.74,11.4,32.1,43.6,21.6,7.8,4.7,15.3,19.4,96.7,Boston Celtics_2013,2013
3,Philadelphia 76ers,34,48,.415,20.0,93.2,96.5,-3.51,9.0,82,240.9,36.8,81.0,0.454,6.7,19.2,0.349,30.1,61.8,0.487,16.2,21.4,0.76,11.0,33.0,44.0,22.8,7.2,4.8,14.3,16.2,96.5,Philadelphia 76ers_2013,2013
4,Toronto Raptors,34,48,.415,20.0,97.2,98.7,-1.96,17.0,82,243.7,36.2,79.2,0.458,6.7,18.4,0.361,29.6,60.8,0.487,19.6,26.2,0.747,10.7,31.0,41.7,21.9,7.0,4.7,14.3,20.1,98.7,Toronto Raptors_2013,2013
5,Indiana Pacers,49,32,.605,—,94.7,90.7,3.34,2.0,81,241.9,34.5,82.2,0.42,5.4,16.6,0.327,29.1,65.6,0.444,16.2,21.3,0.76,11.2,29.6,40.9,19.2,7.5,5.7,13.5,21.9,90.7,Indiana Pacers_2013,2013
6,Chicago Bulls,45,37,.549,4.5,93.2,92.9,-0.02,3.0,82,241.8,35.4,80.1,0.443,5.5,16.0,0.346,29.9,64.1,0.467,16.5,22.3,0.739,11.0,30.1,41.1,18.8,7.3,5.8,13.7,19.6,92.9,Chicago Bulls_2013,2013
7,Milwaukee Bucks,38,44,.463,11.5,98.9,100.4,-1.83,20.0,82,241.8,38.4,84.7,0.454,6.5,18.5,0.348,32.0,66.2,0.483,17.0,22.5,0.759,12.4,33.6,46.0,23.1,8.0,4.4,16.0,19.1,100.4,Milwaukee Bucks_2013,2013
8,Detroit Pistons,29,53,.354,20.5,94.9,98.8,-4.33,18.0,82,241.5,37.3,81.2,0.459,7.4,20.4,0.36,29.9,60.7,0.492,16.9,22.2,0.762,11.1,30.7,41.8,22.4,8.4,5.8,13.7,19.9,98.8,Detroit Pistons_2013,2013
9,Cleveland Cavaliers,24,58,.293,25.5,96.5,101.2,-4.87,25.0,82,240.6,37.9,79.6,0.476,7.4,20.0,0.372,30.5,59.6,0.511,17.9,24.2,0.739,10.8,31.3,42.1,23.9,7.6,6.8,15.2,19.7,101.2,Cleveland Cavaliers_2013,2013
