,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Miami Heat,55,27,.671,—,95.0,90.0,5.09,6.0,82,240.9,33.2,77.5,0.428,3.7,11.2,0.331,29.5,66.3,0.445,19.9,26.8,0.744,12.9,27.2,40.1,19.9,7.8,4.5,14.8,22.6,90.0,Miami Heat_1998,1998
1,New York Knicks,43,39,.524,12.0,91.6,89.1,2.74,2.0,82,241.8,32.0,74.8,0.428,4.0,12.7,0.317,28.0,62.0,0.451,21.1,28.1,0.75,10.4,28.5,39.0,19.3,8.0,3.8,15.0,20.8,89.1,New York Knicks_1998,1998
2,New Jersey Nets,43,39,.524,12.0,99.6,98.1,1.88,21.0,82,242.4,36.8,78.1,0.471,4.3,12.6,0.346,32.4,65.6,0.495,20.2,27.0,0.748,13.2,28.2,41.4,21.6,7.5,6.3,18.1,24.7,98.1,New Jersey Nets_1998,1998
3,Washington Wizards,42,40,.512,13.0,97.2,96.6,1.11,17.0,82,241.5,36.3,79.8,0.455,4.2,11.9,0.356,32.0,67.8,0.472,19.8,26.5,0.747,12.5,30.1,42.6,21.0,7.7,4.5,16.2,23.5,96.6,Washington Wizards_1998,1998
4,Orlando Magic,41,41,.500,14.0,90.1,91.2,-0.53,7.0,82,241.8,35.7,78.8,0.454,3.8,11.8,0.324,31.9,67.0,0.476,15.9,21.6,0.736,13.3,27.7,40.9,21.2,9.1,4.7,15.4,22.8,91.2,Orlando Magic_1998,1998
5,Boston Celtics,36,46,.439,19.0,95.9,98.5,-1.96,22.0,82,240.6,34.9,72.9,0.479,3.6,11.5,0.318,31.3,61.5,0.509,25.0,33.6,0.745,12.4,29.8,42.2,22.3,8.5,5.0,20.6,21.0,98.5,Boston Celtics_1998,1998
6,Philadelphia 76ers,31,51,.378,24.0,93.3,95.7,-1.89,15.0,82,240.9,35.4,78.5,0.451,4.7,13.6,0.344,30.8,64.9,0.474,20.1,27.6,0.73,13.6,28.5,42.1,23.5,9.3,6.2,16.1,23.2,95.7,Philadelphia 76ers_1998,1998
7,Chicago Bulls,62,20,.756,—,96.7,89.6,7.24,3.0,82,242.1,34.1,79.1,0.431,4.0,12.5,0.322,30.1,66.6,0.452,17.4,23.9,0.729,12.4,27.3,39.7,19.5,8.0,4.3,15.5,21.6,89.6,Chicago Bulls_1998,1998
8,Indiana Pacers,58,24,.707,4.0,96.0,89.9,6.25,5.0,82,241.8,34.0,78.7,0.432,3.3,10.6,0.316,30.7,68.1,0.45,18.6,25.6,0.728,13.6,27.5,41.1,19.4,7.9,4.5,15.1,22.5,89.9,Indiana Pacers_1998,1998
9,Charlotte Hornets,51,31,.622,11.0,96.6,94.6,2.45,14.0,82,241.2,36.3,78.3,0.464,4.5,13.0,0.347,31.8,65.3,0.487,17.5,24.0,0.731,11.8,27.5,39.3,22.0,7.1,4.5,15.1,23.2,94.6,Charlotte Hornets_1998,1998
10,Atlanta Hawks,50,32,.610,12.0,95.9,92.3,3.85,8.0,82,242.4,36.1,81.7,0.442,4.2,12.4,0.342,31.9,69.3,0.46,15.9,21.6,0.735,13.2,26.2,39.4,21.4,7.5,4.5,13.6,23.1,92.3,Atlanta Hawks_1998,1998
11,Cleveland Cavaliers,47,35,.573,15.0,92.5,89.8,3.06,4.0,82,241.8,32.8,75.8,0.433,4.2,12.1,0.344,28.6,63.7,0.45,20.0,26.5,0.755,11.6,27.2,38.7,21.8,8.6,5.5,17.6,23.2,89.8,Cleveland Cavaliers_1998,1998
12,Detroit Pistons,37,45,.451,25.0,94.2,92.6,1.95,9.0,82,243.4,34.6,77.8,0.445,4.4,13.4,0.33,30.2,64.4,0.469,18.9,25.3,0.746,12.1,28.5,40.5,21.4,7.9,4.7,15.4,22.9,92.6,Detroit Pistons_1998,1998
13,Milwaukee Bucks,36,46,.439,26.0,94.5,96.4,-1.33,16.0,82,243.0,35.5,77.1,0.461,3.7,11.3,0.327,31.8,65.7,0.484,21.7,29.2,0.743,12.2,27.6,39.8,21.3,9.3,4.9,16.4,22.0,96.4,Milwaukee Bucks_1998,1998
14,Toronto Raptors,16,66,.195,46.0,94.9,104.2,-8.33,29.0,82,243.0,39.9,83.2,0.479,4.8,12.6,0.383,35.1,70.6,0.496,19.5,27.9,0.7,15.5,30.6,46.0,27.1,9.0,6.3,16.7,21.3,104.2,Toronto Raptors_1998,1998
15,Utah Jazz,62,20,.756,—,101.0,94.4,5.73,12.0,82,241.2,34.2,77.9,0.439,4.9,13.7,0.357,29.3,64.2,0.457,21.1,27.9,0.757,12.0,24.5,36.5,20.6,7.9,5.2,14.1,26.0,94.4,Utah Jazz_1998,1998
16,San Antonio Spurs,56,26,.683,6.0,92.5,88.5,3.30,1.0,82,241.8,33.4,81.2,0.411,4.1,12.5,0.328,29.3,68.6,0.426,17.7,23.9,0.74,12.4,27.3,39.7,19.0,8.9,4.6,12.7,22.5,88.5,San Antonio Spurs_1998,1998
17,Minnesota Timberwolves,45,37,.549,17.0,101.1,100.4,0.17,25.0,82,243.0,37.5,83.7,0.448,5.3,14.7,0.358,32.2,69.0,0.468,20.1,27.1,0.742,13.6,29.4,43.0,23.3,7.4,5.0,15.0,22.7,100.4,Minnesota Timberwolves_1998,1998
18,Houston Rockets,41,41,.500,21.0,98.8,99.5,-1.23,24.0,82,241.8,38.7,82.5,0.469,5.0,13.7,0.365,33.7,68.9,0.489,17.1,23.1,0.744,12.7,28.4,41.1,23.3,8.9,4.5,14.3,21.3,99.5,Houston Rockets_1998,1998
19,Dallas Mavericks,20,62,.244,42.0,91.4,97.5,-6.33,19.0,82,242.7,38.3,83.2,0.46,4.7,13.8,0.342,33.6,69.4,0.484,16.3,22.8,0.714,14.9,32.2,47.2,23.0,8.0,4.6,15.1,19.6,97.5,Dallas Mavericks_1998,1998
20,Vancouver Grizzlies,19,63,.232,43.0,96.6,103.9,-7.47,28.0,82,241.8,39.4,82.9,0.475,5.2,13.5,0.385,34.2,69.3,0.493,19.9,27.2,0.732,14.0,28.7,42.7,25.6,10.2,6.6,14.2,22.3,103.9,Vancouver Grizzlies_1998,1998
21,Denver Nuggets,11,71,.134,51.0,89.0,100.8,-11.74,26.0,82,240.6,36.8,77.7,0.473,5.1,13.5,0.379,31.7,64.2,0.493,22.2,29.4,0.754,13.4,29.3,42.6,24.2,8.1,6.5,15.2,21.7,100.8,Denver Nuggets_1998,1998
22,Seattle SuperSonics,61,21,.744,—,100.6,93.4,6.33,11.0,82,240.9,35.3,79.2,0.446,5.1,15.7,0.324,30.2,63.5,0.476,17.7,24.4,0.724,13.9,28.2,42.1,22.3,7.8,4.9,17.0,22.2,93.4,Seattle SuperSonics_1998,1998
23,Los Angeles Lakers,61,21,.744,—,105.5,97.8,6.88,20.0,82,241.8,36.4,82.9,0.439,4.6,13.1,0.355,31.8,69.9,0.455,20.4,27.8,0.732,13.7,28.5,42.2,22.5,8.0,5.2,15.6,26.2,97.8,Los Angeles Lakers_1998,1998
24,Phoenix Suns,56,26,.683,5.0,99.6,94.4,4.44,13.0,82,243.4,35.6,80.7,0.442,4.8,13.3,0.361,30.8,67.4,0.458,18.3,25.0,0.732,12.8,28.6,41.4,22.0,8.8,3.9,16.6,21.6,94.4,Phoenix Suns_1998,1998
25,Portland Trail Blazers,46,36,.561,15.0,94.3,92.9,0.83,10.0,82,241.8,34.3,79.5,0.431,4.5,13.3,0.343,29.7,66.3,0.449,19.8,27.5,0.722,12.3,26.8,39.2,21.5,9.4,5.4,14.1,22.2,92.9,Portland Trail Blazers_1998,1998
26,Sacramento Kings,27,55,.329,34.0,93.1,98.7,-5.83,23.0,82,240.6,37.7,82.6,0.457,4.2,11.8,0.356,33.5,70.8,0.473,19.0,25.6,0.742,14.1,30.9,45.0,22.2,8.5,5.7,15.3,21.6,98.7,Sacramento Kings_1998,1998
27,Golden State Warriors,19,63,.232,42.0,88.3,97.4,-9.20,18.0,82,241.8,36.5,82.2,0.444,4.1,11.7,0.347,32.4,70.5,0.46,20.3,27.9,0.729,13.8,30.9,44.7,24.5,9.2,5.8,14.1,20.0,97.4,Golden State Warriors_1998,1998
28,Los Angeles Clippers,17,65,.207,44.0,95.9,103.3,-7.53,27.0,82,241.2,39.5,83.3,0.474,4.1,11.3,0.362,35.4,72.1,0.491,20.3,27.6,0.734,14.3,30.1,44.4,22.3,8.9,5.0,14.1,21.3,103.3,Los Angeles Clippers_1998,1998
