,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year,year
0,Philadelphia 76ers,56,26,.683,—,94.7,90.4,3.64,5.0,82,242.1,35.0,81.7,0.429,5.2,15.2,0.342,29.8,66.5,0.448,15.2,20.2,0.749,12.0,28.9,40.9,21.6,8.2,5.6,15.4,23.6,90.4,Philadelphia 76ers_2001,2001
1,Miami Heat,50,32,.610,6.0,88.9,86.6,1.73,2.0,82,242.4,32.9,76.4,0.431,4.4,13.3,0.331,28.5,63.1,0.452,16.3,22.2,0.737,11.1,30.8,42.0,17.3,7.3,5.2,15.5,22.2,86.6,Miami Heat_2001,2001
2,New York Knicks,48,34,.585,8.0,88.7,86.1,1.98,1.0,82,242.7,31.3,75.1,0.417,5.4,15.4,0.352,25.9,59.7,0.434,18.0,24.6,0.733,10.6,29.5,40.1,19.2,7.3,4.1,14.8,21.4,86.1,New York Knicks_2001,2001
3,Orlando Magic,43,39,.524,13.0,97.5,96.5,0.39,18.0,82,243.4,34.5,79.3,0.435,4.5,12.9,0.346,30.0,66.3,0.453,23.0,31.3,0.735,12.9,31.8,44.8,21.9,8.5,5.4,17.2,23.7,96.5,Orlando Magic_2001,2001
4,Boston Celtics,36,46,.439,20.0,94.6,96.8,-2.40,20.0,82,241.8,35.8,78.0,0.459,5.2,14.3,0.368,30.5,63.7,0.48,19.9,26.6,0.75,10.8,32.3,43.1,23.0,7.9,5.4,17.1,23.2,96.8,Boston Celtics_2001,2001
5,New Jersey Nets,26,56,.317,30.0,92.1,97.1,-5.30,22.0,82,240.6,35.8,78.7,0.455,5.2,14.5,0.36,30.6,64.2,0.477,20.3,27.2,0.746,12.2,32.0,44.2,22.4,7.5,6.4,15.9,22.0,97.1,New Jersey Nets_2001,2001
6,Washington Wizards,19,63,.232,37.0,93.2,99.9,-6.75,28.0,82,240.0,37.8,80.4,0.47,5.3,13.3,0.396,32.5,67.1,0.485,19.0,25.5,0.747,11.4,29.4,40.7,23.2,8.4,6.2,15.0,24.1,99.9,Washington Wizards_2001,2001
7,Milwaukee Bucks,52,30,.634,—,100.7,96.9,3.14,21.0,82,241.2,35.5,80.8,0.439,5.4,15.2,0.352,30.2,65.6,0.46,20.5,26.7,0.768,12.4,30.4,42.7,23.0,7.2,4.3,15.5,21.7,96.9,Milwaukee Bucks_2001,2001
8,Toronto Raptors,47,35,.573,5.0,97.6,95.4,1.69,12.0,82,243.4,36.7,82.0,0.447,4.6,12.7,0.363,32.1,69.3,0.463,17.4,23.0,0.754,11.3,30.6,41.9,20.7,6.8,5.4,14.1,21.9,95.4,Toronto Raptors_2001,2001
9,Charlotte Hornets,46,36,.561,6.0,91.9,89.8,1.45,4.0,82,242.4,33.7,79.3,0.426,4.7,13.2,0.36,29.0,66.1,0.439,17.6,23.3,0.756,10.9,29.7,40.6,21.3,7.5,4.6,14.7,21.6,89.8,Charlotte Hornets_2001,2001
10,Indiana Pacers,41,41,.500,11.0,92.6,92.8,-0.77,9.0,82,243.7,34.5,81.5,0.423,4.6,13.7,0.336,29.9,67.8,0.441,19.2,25.3,0.758,12.7,30.4,43.1,20.7,7.2,4.7,13.6,23.0,92.8,Indiana Pacers_2001,2001
11,Detroit Pistons,32,50,.390,20.0,95.6,97.3,-2.08,25.0,82,242.1,36.3,83.5,0.434,5.2,15.0,0.348,31.1,68.5,0.453,19.5,26.5,0.736,12.3,32.6,44.9,22.7,8.2,4.8,15.5,25.1,97.3,Detroit Pistons_2001,2001
12,Cleveland Cavaliers,30,52,.366,22.0,92.2,96.5,-4.48,17.0,82,241.8,35.7,80.3,0.445,5.1,14.1,0.365,30.5,66.2,0.462,19.9,25.9,0.768,12.1,29.3,41.3,22.9,8.5,6.6,15.0,22.1,96.5,Cleveland Cavaliers_2001,2001
13,Atlanta Hawks,25,57,.305,27.0,91.0,96.2,-5.55,15.0,82,240.6,35.6,80.6,0.442,4.8,13.2,0.367,30.8,67.4,0.457,20.1,26.3,0.765,12.5,30.9,43.5,21.2,8.5,6.3,14.8,20.7,96.2,Atlanta Hawks_2001,2001
14,Chicago Bulls,15,67,.183,37.0,87.6,96.7,-9.09,19.0,82,242.1,36.4,77.2,0.472,4.2,11.9,0.356,32.2,65.3,0.493,19.6,26.9,0.73,11.7,31.1,42.8,23.6,7.7,5.2,14.8,21.4,96.7,Chicago Bulls_2001,2001
15,San Antonio Spurs,58,24,.707,—,96.2,88.4,7.92,3.0,82,241.8,34.6,82.6,0.419,4.2,12.7,0.329,30.4,69.8,0.435,15.0,20.3,0.741,11.8,29.7,41.5,19.7,7.3,5.2,13.5,23.7,88.4,San Antonio Spurs_2001,2001
16,Utah Jazz,53,29,.646,5.0,97.1,92.4,5.00,8.0,82,241.2,32.5,74.1,0.439,5.0,14.6,0.343,27.5,59.5,0.462,22.3,29.2,0.765,10.7,26.6,37.3,19.1,8.5,5.5,16.1,24.5,92.4,Utah Jazz_2001,2001
17,Dallas Mavericks,53,29,.646,5.0,100.5,96.2,4.61,16.0,82,241.5,35.8,81.6,0.439,4.6,13.9,0.334,31.2,67.7,0.46,19.9,27.2,0.731,13.0,32.0,45.0,21.7,7.6,4.6,15.5,22.5,96.2,Dallas Mavericks_2001,2001
18,Minnesota Timberwolves,47,35,.573,11.0,97.3,96.0,1.81,14.0,82,241.8,36.3,80.3,0.452,4.3,12.1,0.351,32.0,68.2,0.47,19.1,26.4,0.724,11.8,30.5,42.3,22.4,7.1,4.4,15.2,20.2,96.0,Minnesota Timberwolves_2001,2001
19,Houston Rockets,45,37,.549,13.0,97.2,94.9,2.71,10.0,82,241.8,36.8,82.1,0.449,4.4,12.4,0.354,32.5,69.7,0.465,16.9,22.7,0.744,12.0,29.5,41.6,21.2,7.4,4.9,13.3,21.6,94.9,Houston Rockets_2001,2001
20,Denver Nuggets,40,42,.488,18.0,96.6,99.0,-1.83,27.0,82,241.2,37.6,84.3,0.446,5.1,14.2,0.356,32.5,70.1,0.464,18.8,25.0,0.753,12.3,32.2,44.6,24.9,7.2,6.1,13.1,21.4,99.0,Denver Nuggets_2001,2001
21,Vancouver Grizzlies,23,59,.280,35.0,91.7,97.5,-4.94,26.0,82,241.2,38.3,82.8,0.463,4.7,13.1,0.362,33.6,69.7,0.482,16.1,21.9,0.732,12.8,30.9,43.7,23.6,8.7,5.8,14.8,21.6,97.5,Vancouver Grizzlies_2001,2001
22,Los Angeles Lakers,56,26,.683,—,100.6,97.2,3.74,23.0,82,242.7,36.4,83.1,0.438,5.0,14.2,0.354,31.3,68.9,0.455,19.5,25.8,0.754,12.0,29.4,41.3,20.2,7.5,4.0,13.1,24.4,97.2,Los Angeles Lakers_2001,2001
23,Sacramento Kings,55,27,.671,1.0,101.7,95.9,6.07,13.0,82,244.9,37.6,87.1,0.432,4.9,13.8,0.355,32.8,73.3,0.447,15.7,21.0,0.749,13.7,32.2,45.9,22.1,8.1,5.8,16.3,21.5,95.9,Sacramento Kings_2001,2001
24,Phoenix Suns,51,31,.622,5.0,94.0,91.8,2.63,7.0,82,241.5,34.0,78.3,0.435,4.0,11.4,0.349,30.1,66.9,0.449,19.7,25.9,0.761,11.0,31.6,42.6,20.1,8.3,5.1,17.5,22.2,91.8,Phoenix Suns_2001,2001
25,Portland Trail Blazers,50,32,.610,6.0,95.4,91.2,4.52,6.0,82,241.2,34.4,78.5,0.438,5.0,13.5,0.368,29.4,65.0,0.452,17.5,23.5,0.744,11.5,27.3,38.8,21.3,7.9,4.0,14.8,21.2,91.2,Portland Trail Blazers_2001,2001
26,Seattle SuperSonics,44,38,.537,12.0,97.3,97.3,0.55,24.0,82,241.5,37.5,82.7,0.453,5.7,16.5,0.349,31.8,66.2,0.48,16.5,22.2,0.742,12.8,29.6,42.4,23.9,7.9,6.2,15.0,22.1,97.3,Seattle SuperSonics_2001,2001
27,Los Angeles Clippers,31,51,.378,25.0,92.5,95.3,-2.23,11.0,82,244.3,36.5,82.9,0.44,4.3,13.1,0.329,32.2,69.8,0.461,18.0,24.2,0.743,12.7,29.7,42.5,21.8,7.8,5.0,12.7,21.9,95.3,Los Angeles Clippers_2001,2001
28,Golden State Warriors,17,65,.207,39.0,92.5,101.5,-8.11,29.0,82,241.2,38.8,82.2,0.472,5.4,14.1,0.379,33.4,68.1,0.491,18.6,24.5,0.76,12.7,32.8,45.5,24.9,8.8,6.0,16.4,21.5,101.5,Golden State Warriors_2001,2001
