,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Rk,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,team_year
10,Washington Wizards,32,50,0.39,28.0,114.0,116.9,-3.3,10.0,82,243.0,42.1,90.1,0.468,11.3,33.3,0.341,30.8,56.8,0.543,18.4,23.9,0.768,9.7,32.7,42.4,26.3,8.3,4.6,14.1,20.7,114.0,Washington Wizards_2019
11,Atlanta Hawks,29,53,0.354,31.0,113.3,119.4,-6.06,12.0,82,242.1,41.4,91.8,0.451,13.0,37.0,0.352,28.4,54.8,0.518,17.6,23.4,0.752,11.6,34.5,46.1,25.8,8.2,5.1,17.0,23.6,113.3,Atlanta Hawks_2019
12,Chicago Bulls,22,60,0.268,38.0,104.9,113.4,-8.32,27.0,82,242.7,39.8,87.9,0.453,9.1,25.9,0.351,30.7,62.0,0.496,16.2,20.7,0.783,8.8,34.1,42.9,21.9,7.4,4.3,14.1,20.3,104.9,Chicago Bulls_2019
13,Cleveland Cavaliers,19,63,0.232,41.0,104.5,114.1,-9.39,29.0,82,240.9,38.9,87.6,0.444,10.3,29.1,0.355,28.6,58.5,0.488,16.4,20.7,0.792,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20.0,104.5,Cleveland Cavaliers_2019
14,New York Knicks,17,65,0.207,43.0,104.6,113.8,-8.93,28.0,82,241.2,38.2,88.3,0.433,10.0,29.5,0.34,28.2,58.8,0.479,18.1,23.9,0.759,10.5,34.3,44.7,20.1,6.8,5.1,14.0,20.9,104.6,New York Knicks_2019
15,Golden State Warriors,57,25,0.695,—,117.7,111.2,6.42,2.0,82,241.5,44.0,89.8,0.491,13.3,34.4,0.385,30.8,55.3,0.557,16.3,20.4,0.801,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7,Golden State Warriors_2019
16,Denver Nuggets,54,28,0.659,3.0,110.7,106.7,4.19,19.0,82,240.6,41.9,90.0,0.466,11.0,31.4,0.351,30.9,58.7,0.527,15.8,20.9,0.755,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20.0,110.7,Denver Nuggets_2019
17,Portland Trail Blazers,53,29,0.646,4.0,114.7,110.5,4.43,6.0,82,242.1,42.3,90.6,0.467,11.0,30.7,0.359,31.3,59.8,0.523,19.0,23.3,0.814,11.8,36.2,48.0,23.0,6.7,5.0,13.8,20.4,114.7,Portland Trail Blazers_2019
18,Houston Rockets,53,29,0.646,4.0,113.9,109.1,4.96,11.0,82,241.8,39.2,87.4,0.449,16.1,45.4,0.356,23.1,42.0,0.551,19.3,24.4,0.791,10.2,31.9,42.1,21.2,8.5,4.9,13.3,22.0,113.9,Houston Rockets_2019
19,Utah Jazz,50,32,0.61,7.0,111.7,106.5,5.28,18.0,82,240.9,40.4,86.4,0.468,12.1,34.0,0.356,28.3,52.4,0.541,18.8,25.5,0.736,10.0,36.4,46.4,26.0,8.1,5.9,15.1,21.1,111.7,Utah Jazz_2019
